Data set,Overall research performance
Entity,"Indian Institute of Technology Roorkee"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,17 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),1,0,1,0,0,0,0,0
Awards Volume (value),383953,0,383953,0,0,0,0,0
International Collaboration (%),19.1%,17.3%,18.6%,19.9%,15.9%,21.6%,20.8%,20.1%
Academic-Corporate Collaboration (%),0.5%,0.0%,0.5%,0.3%,0.3%,0.7%,0.8%,1.7%
Scholarly Output,8233,1047,1234,1222,1412,1392,1633,293
Scholarly Output (growth %),33.0%
Citations,44996,12376,11027,8332,7110,4697,1434,20
Field-Weighted Citation Impact,1.16,1.00,1.08,1.13,1.14,1.29,1.29,1.02
Outputs in Top Citation Percentiles (top 10%),13.1%,12.6%,9.2%,11.7%,13.2%,16.8%,14.4%,-%
Publications in Top Journal Percentiles (top 10% by SNIP),19.1%,20.5%,18.4%,19.5%,23.4%,17.6%,16.1%,-%
Citations per Publication,5.5,11.8,8.9,6.8,5.0,3.4,0.9,0.1
Views,144241,26700,27238,24027,23979,21778,18746,1773
Outputs in Top Views Percentiles (top 10%),16.6%,16.9%,15.5%,14.1%,15.2%,17.2%,19.7%,-%
Views per Publication,17.5,25.5,22.1,19.7,17.0,15.6,11.5,6.1
Field-Weighted View Impact,1.12,1.14,1.18,1.03,1.05,1.11,1.22,1.20
Citing-Patents Count (patent office: All Patent Offices),41,19,15,6,1,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),29,12,12,4,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),42,20,15,6,1,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),5.1,19.1,12.2,4.9,0.7,0.0,0.0,0.0
Mass Media (Print),94,4,9,13,8,32,28,-
Media Exposure Internationally recognized (Print),49.0,-,2.0,3.0,3.0,20.0,21.0,-,
Media Exposure Regionally recognized (Print),8.0,1.0,1.0,3.0,0.5,1.5,1.0,-,
Media Exposure Nationally recognized (Print),5.7,0.6,1.2,0.9,0.6,1.2,1.2,-,
Media Exposure Locally recognized (Print),2.0,-,0.2,0.2,0.4,1.0,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.28,0.0,0.2,0.2,0.1,0.2,0.8,-
"Authors",3800,916,1105,1133,1304,1283,1466,468
Authors (growth %),40.1%

Details on awards received in a different currency

Awards Volume (value in USD),USD,"Native currency",Country
"Natural Environment Research Council (NERC)",383953,242196 GBP,United Kingdom


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
