Data set,Overall research performance
Entity,"National Institute of Technology Calicut"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,24 February 2017
Date exported,18 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),9.2%,13.0%,8.3%,10.9%,9.6%,7.4%,7.0%,11.4%
Academic-Corporate Collaboration (%),0.3%,0.0%,0.0%,0.0%,0.5%,1.1%,0.4%,0.0%
Scholarly Output,1419,184,206,220,209,283,273,44
Scholarly Output (growth %),53.8%
Citations,4135,921,1082,860,725,467,80,0
Field-Weighted Citation Impact,0.62,0.64,0.80,0.74,0.63,0.70,0.39,0.00
Outputs in Top Citation Percentiles (top 10%),6.4%,4.9%,6.8%,5.0%,8.6%,6.4%,6.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),16.2%,14.6%,14.6%,17.5%,17.0%,15.8%,16.9%,-%
Citations per Publication,2.9,5.0,5.3,3.9,3.5,1.7,0.3,0.0
Views,19942,3427,3432,3752,3557,3812,1836,126
Outputs in Top Views Percentiles (top 10%),11.9%,12.5%,9.7%,12.3%,14.8%,12.4%,9.9%,-%
Views per Publication,14.1,18.6,16.7,17.1,17.0,13.5,6.7,2.9
Field-Weighted View Impact,1.00,1.11,0.92,0.96,1.01,1.12,0.86,1.01
Citing-Patents Count (patent office: All Patent Offices),8,3,1,1,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),5,2,1,1,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),8,3,1,1,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),5.6,16.3,4.9,4.5,14.4,0.0,0.0,0.0
Mass Media (Print),12,-,5,-,6,1,-,-
Media Exposure Internationally recognized (Print),9.0,-,3.0,-,5.0,1.0,-,-,
Media Exposure Regionally recognized (Print),0.5,-,-,-,0.5,-,-,-,
Media Exposure Nationally recognized (Print),0.6,-,0.6,-,-,-,-,-
Media Exposure Locally recognized (Print),
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.06,0.0,0.0,0.0,0.3,0.1,0.0,-
"Authors",1056,213,256,254,255,360,378,77
Authors (growth %),69.0%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
