Data set,Overall research performance
Entity,"Jadavpur University"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),17.8%,17.6%,16.6%,17.7%,18.9%,19.9%,16.5%,15.5%
Academic-Corporate Collaboration (%),0.6%,0.9%,0.6%,1.1%,0.1%,0.5%,0.7%,0.0%
Scholarly Output,9359,1364,1451,1460,1594,1595,1617,278
Scholarly Output (growth %),16.9%
Citations,43005,14386,10183,7655,6562,3383,831,5
Field-Weighted Citation Impact,0.96,1.13,0.97,0.90,1.04,1.00,0.86,0.31
Outputs in Top Citation Percentiles (top 10%),10.3%,10.4%,8.7%,8.4%,12.1%,11.8%,10.4%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),20.6%,17.9%,16.9%,16.4%,24.1%,26.1%,21.2%,-%
Citations per Publication,4.6,10.5,7.0,5.2,4.1,2.1,0.5,0.0
Views,145122,29913,27310,25890,24587,21468,14168,1786
Outputs in Top Views Percentiles (top 10%),13.6%,13.6%,14.3%,13.8%,14.1%,12.7%,13.4%,-%
Views per Publication,15.5,21.9,18.8,17.7,15.4,13.5,8.8,6.4
Field-Weighted View Impact,1.08,1.17,1.09,1.03,1.07,1.11,1.00,1.01
Citing-Patents Count (patent office: All Patent Offices),65,46,14,6,1,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),28,15,8,4,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),69,48,14,6,1,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),7.4,35.2,9.6,4.1,0.6,0.0,0.0,0.0
Mass Media (Print),2224,234,405,298,569,493,225,-
Media Exposure Internationally recognized (Print),1144.0,96.0,202.0,112.0,315.0,261.0,158.0,-,
Media Exposure Regionally recognized (Print),427.0,57.5,75.5,72.0,108.0,88.5,25.5,-,
Media Exposure Nationally recognized (Print),49.5,6.3,14.1,8.4,6.0,11.7,3.0,-,
Media Exposure Locally recognized (Print),12.2,0.4,1.0,2.8,3.6,3.2,1.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),2.40,1.3,3.7,2.1,3.2,1.9,2.2,-
"Authors",4233,1186,1345,1350,1444,1569,1570,490
Authors (growth %),32.3%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
