Data set,Overall research performance
Entity,"University of Mumbai"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),15.6%,10.6%,14.4%,17.9%,15.9%,17.8%,16.5%,13.9%
Academic-Corporate Collaboration (%),0.8%,0.9%,0.5%,1.2%,0.7%,1.2%,0.4%,1.7%
Scholarly Output,4055,539,583,604,679,679,798,173
Scholarly Output (growth %),26.0%
Citations,21239,4945,5167,4707,3570,2212,609,29
Field-Weighted Citation Impact,0.99,0.79,0.84,0.92,0.95,0.97,1.01,2.43
Outputs in Top Citation Percentiles (top 10%),14.2%,11.3%,13.0%,13.2%,13.8%,16.9%,15.8%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),25.9%,19.3%,21.1%,24.6%,26.3%,33.2%,28.1%,-%
Citations per Publication,5.2,9.2,8.9,7.8,5.3,3.3,0.8,0.2
Views,113972,19445,22364,21490,20194,15844,12674,1961
Outputs in Top Views Percentiles (top 10%),32.0%,27.3%,35.3%,36.3%,34.6%,30.2%,28.9%,-%
Views per Publication,28.1,36.1,38.4,35.6,29.7,23.3,15.9,11.3
Field-Weighted View Impact,1.52,1.41,1.52,1.62,1.55,1.50,1.52,1.42
Citing-Patents Count (patent office: All Patent Offices),42,22,7,10,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),23,11,5,6,1,0,0,0
Patent-Citations Count (patent office: All Patent Offices),42,22,7,10,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),10.4,40.8,12.0,16.6,4.4,0.0,0.0,0.0
Mass Media (Print),283,52,46,21,75,50,39,-
Media Exposure Internationally recognized (Print),74.0,19.0,12.0,6.0,24.0,4.0,9.0,-,
Media Exposure Regionally recognized (Print),1.5,-,-,-,-,-,1.5,-,
Media Exposure Nationally recognized (Print),23.1,1.8,5.7,3.6,5.7,3.9,2.4,-,
Media Exposure Locally recognized (Print),25.8,5.4,3.0,0.6,6.4,6.6,3.8,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.14,0.1,0.2,0.1,0.1,0.1,0.3,-
"Authors",2984,720,717,729,807,826,987,265
Authors (growth %),14.7%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
