Data set,Overall research performance
Entity,"University of Calcutta"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),18.6%,19.6%,18.7%,16.3%,18.1%,18.5%,20.0%,22.2%
Academic-Corporate Collaboration (%),0.2%,0.3%,0.0%,0.0%,0.3%,0.3%,0.1%,0.0%
Scholarly Output,6137,813,894,992,1090,1083,1062,203
Scholarly Output (growth %),33.2%
Citations,26895,7052,6130,6441,4424,2317,527,4
Field-Weighted Citation Impact,0.77,0.81,0.75,0.84,0.84,0.80,0.68,0.35
Outputs in Top Citation Percentiles (top 10%),10.6%,9.5%,9.4%,11.1%,10.3%,11.3%,11.6%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),20.5%,15.3%,16.4%,18.4%,24.0%,25.6%,20.8%,-%
Citations per Publication,4.4,8.7,6.9,6.5,4.1,2.1,0.5,0.0
Views,81450,15339,15321,16192,13772,12536,7514,776
Outputs in Top Views Percentiles (top 10%),10.8%,12.5%,12.0%,9.2%,10.2%,11.6%,9.6%,-%
Views per Publication,13.3,18.9,17.1,16.3,12.6,11.6,7.1,3.8
Field-Weighted View Impact,0.90,0.94,0.88,0.90,0.92,0.97,0.84,0.73
Citing-Patents Count (patent office: All Patent Offices),35,23,11,3,-,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),24,11,10,3,0,0,0,0
Patent-Citations Count (patent office: All Patent Offices),39,23,12,4,0,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),6.4,28.3,13.4,4.0,0.0,0.0,0.0,0.0
Mass Media (Print),100,11,19,10,22,27,11,-
Media Exposure Internationally recognized (Print),35.0,4.0,7.0,-,13.0,8.0,3.0,-,
Media Exposure Regionally recognized (Print),4.5,1.0,0.5,0.5,1.0,1.0,0.5,-,
Media Exposure Nationally recognized (Print),11.4,0.9,1.8,2.1,1.5,3.3,1.8,-,
Media Exposure Locally recognized (Print),2.6,0.4,-,0.4,0.4,1.2,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.18,0.1,0.1,0.2,0.1,0.1,0.5,-
"Authors",2952,832,904,958,1070,1174,1136,362
Authors (growth %),41.1%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
