Data set,Overall research performance
Entity,"University of Madras"
Year range,2011 to 2017
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,3 March 2017
Date exported,20 March 2017

	,Overall,2011,2012,2013,2014,2015,2016,2017
Awards Volume (count),
Awards Volume (value),
International Collaboration (%),18.3%,16.3%,14.0%,15.7%,20.1%,21.8%,19.5%,29.1%
Academic-Corporate Collaboration (%),0.5%,0.6%,0.7%,0.7%,0.3%,0.4%,0.4%,0.0%
Scholarly Output,3484,541,564,574,606,560,512,127
Scholarly Output (growth %),3.5%
Citations,17093,4903,3916,4022,2490,1452,307,3
Field-Weighted Citation Impact,0.79,0.75,0.78,0.84,0.77,0.90,0.79,0.45
Outputs in Top Citation Percentiles (top 10%),11.1%,9.6%,8.5%,8.7%,12.7%,13.6%,13.5%,-%
Publications in Top Journal Percentiles (top 10% by CiteScore Percentile),14.4%,11.0%,9.1%,10.1%,18.2%,20.2%,17.5%,-%
Citations per Publication,4.9,9.1,6.9,7.0,4.1,2.6,0.6,0.0
Views,48348,9579,9095,8987,8625,7061,4203,798
Outputs in Top Views Percentiles (top 10%),11.5%,11.5%,9.9%,10.3%,12.4%,13.0%,11.9%,-%
Views per Publication,13.9,17.7,16.1,15.7,14.2,12.6,8.2,6.3
Field-Weighted View Impact,0.91,0.89,0.91,0.82,0.91,0.96,0.93,1.01
Citing-Patents Count (patent office: All Patent Offices),12,8,1,-,3,-,-,-
Patent-Cited Scholarly Output (patent office: All Patent Offices),8,5,1,0,2,0,0,0
Patent-Citations Count (patent office: All Patent Offices),12,8,1,0,3,0,0,0
Patent-Citations per Scholarly Output (patent office: All Patent Offices),3.4,14.8,1.8,0.0,5.0,0.0,0.0,0.0
Mass Media (Print),199,19,26,33,31,48,42,-
Media Exposure Internationally recognized (Print),84.0,9.0,13.0,10.0,20.0,9.0,23.0,-,
Media Exposure Regionally recognized (Print),3.5,0.5,-,0.5,-,2.0,0.5,-,
Media Exposure Nationally recognized (Print),30.9,2.7,3.6,6.0,3.3,10.2,5.1,-,
Media Exposure Locally recognized (Print),1.0,-,0.2,0.4,-,0.2,0.2,-
Media Exposure Local interest (Print),
Field-Weighted Mass Media (Print),0.27,0.1,0.2,0.1,0.1,0.1,1.0,-
"Authors",2686,686,781,709,829,750,741,257
Authors (growth %),9.3%


"© 2017 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
