# RANK      2013,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
1,Massachusetts Institute of Technology (MIT),100,100,100,100,97.6,96.3,99.7
2,Harvard University,99.2,100,100,99.3,94.1,85.3,100
3,University of Cambridge,99,100,100,99.6,95.5,96,95.8
4,UCL (University College London),98.9,99.9,98.7,98.9,96.5,100,95.6
5,Imperial College London,98.8,99.9,100,99.8,99.9,99.9,92.5
6,University of Oxford,98.7,100,100,100,97.7,96.7,93.1
7,Stanford University,96.8,100,100,94.4,75.6,76,100
8,Yale University,96.5,100,100,100,94.4,72.7,88.8
9,University of Chicago,96.2,99.9,94.3,96.2,78.8,74.9,97.8
10,California Institute of Technology (Caltech),96.1,99.6,69.2,100,92.2,87.7,100
10,Princeton University,96.1,100,95.1,96.3,76.3,68.8,98.8
12,ETH Zurich - Swiss Federal Institute of Technology,94.3,99.9,97.9,76.5,100,98.4,94.9
13,University of Pennsylvania,93.8,98.4,93.8,99.9,55,69.8,92.7
14,Columbia University,93.6,100,100,95.9,16.2,78.8,96.8
15,Cornell University,92.5,99.8,97.8,75.1,87.8,64.6,99.2
16,Johns Hopkins University,92.1,96,64.1,100,78.9,69.7,97.8
17,The University of Edinburgh,91.3,99.7,98.3,75.1,89.8,97.3,84.5
17,University of Toronto,91.3,99.9,95.9,78.8,97.7,86.8,82.2
19,Ecole Polytechnique Fédérale de Lausanne (EPFL),90.9,87.9,88.3,94.5,100,100,88.2
19,King's College London,90.9,94.6,93.7,89.9,93.9,96.6,79.3
21,McGill University,90.6,99.1,95.7,90.2,81.1,90.2,72.2
22,University of Michigan,90.5,99.8,95,92.7,44,45.9,88.7
23,Duke University,90.1,96.2,85.8,99.9,16.4,44.4,98.4
24,National University of Singapore (NUS),89.4,100,99.9,89.1,100,96.6,57.3
25,"University of California, Berkeley (UCB)",89,100,100,52.1,93.9,74.7,98.9
26,The University of Hong Kong,88.6,99.4,93.1,94.7,100,98.7,51.7
27,The Australian National University,88.5,99.7,92.4,83.4,99.9,94.1,63.2
28,"Ecole normale supérieure, Paris",87.8,89.7,77.4,97.1,58.7,52.1,94.3
29,Northwestern University,87.3,92.9,90.7,87.2,12,55.4,99.5
30,University of Bristol,86.6,92.2,98.3,78.6,83.7,81,78.1
31,The University of Melbourne,86,99.8,100,50.1,81.5,96.6,84
32,The University of Tokyo,85.7,100,99.3,91.4,11.1,27.3,76.3
33,The University of Manchester,85.2,99.2,100,66.2,84.5,96,64.7
34,The Hong Kong University of Science and Technology,84.4,93.3,90.6,86.5,100,98.6,52.6
35,Kyoto University,84.1,99.9,92.1,94.8,16.5,22.9,68.4
35,Seoul National University,84.1,98.7,93.6,87,47.2,60.4,60.9
37,University of Wisconsin-Madison,83,97.4,69.7,91.8,56.9,36,68.7
38,The University of Sydney,82.9,99.5,98,50.1,99.7,87.2,68.4
39,The Chinese University of Hong Kong (CUHK),82.3,94.5,83.3,87.9,95.8,81.7,47.1
40,"University of California, Los Angeles (UCLA)",81.9,100,98,47.7,2.3,43.6,100
41,Ecole Polytechnique,81.1,74.1,97.5,99.9,72,91.4,66.2
41,"Nanyang Technological University, Singapore (NTU)",81.1,92.4,94.1,90.1,100,97.1,33
43,The University of Queensland,80.9,95.7,91.9,49.8,98.8,86.8,69.3
44,New York University (NYU),80.8,98.4,92,94.9,23.5,60,43.8
45,University of Copenhagen,80.5,89,78.9,99.7,67.5,37.5,57.4
46,Peking University,80,99.8,98.8,79,64.5,32.1,46.5
47,Brown University,79.8,81.1,65.5,85.2,23.5,55.8,97.6
48,Tsinghua University,79.7,99.3,99.1,88.6,48.7,38.9,38.3
49,University of British Columbia,79.4,99.6,86.5,35.4,83.4,53.5,83.4
50,Ruprecht-Karls-Universitaet Heidelberg,79.3,96.4,64.1,86,52.7,61.6,55.6
51,University of Glasgow,78.9,86.4,80.1,52.7,81.2,84.7,85.9
52,The University of New South Wales (UNSW Australia),78.8,96.5,98.6,40.2,100,95.8,61.2
53,Technical University of Munich,78.5,90.7,96.1,95.5,51,57.7,39.1
54,"University of North Carolina, Chapel Hill",77,83.9,56.3,78.8,43.6,22.1,92.4
55,Osaka University,76.9,91.7,80.5,93.2,14.9,19.9,57.7
56,University of Illinois at Urbana-Champaign,76.7,97.9,77.5,23.6,67.6,62.6,91.3
57,Carnegie Mellon University,76.6,85.8,82.6,46.4,18.6,98,93.4
58,University of Amsterdam,76.4,93.8,83.9,41.1,67,30.6,85.7
59,University of Washington,76.2,95.2,54.6,54.7,8.7,22.3,99.5
60,KAIST - Korea Advanced Institute of Science & Technology,75.8,85.1,72.8,90.8,40.7,21.8,64.5
61,"Trinity College Dublin, The University of Dublin",75.1,81.8,82.6,59.8,98,78.7,65.4
62,University of Birmingham,74.9,81.3,90.4,57.3,81.6,80,67.4
63,"University of California, San Diego (UCSD)",74.8,98,50.4,45.5,2.1,22.3,99.8
64,The University of Warwick,74.5,89.4,100,47.1,91.6,98,47.7
65,Ludwig-Maximilians-Universität München,74.4,98.4,84.3,45.4,46.3,43,63.8
66,Tokyo Institute of Technology,74.2,79.8,84.6,76.8,15,35.1,78.3
67,Lund University,74,89.6,90,50.8,51.4,52.4,67.7
68,London School of Economics and Political Science (LSE),73.9,92.6,100,63.5,100,100,19.6
69,Monash University,73.7,94.1,98,34.6,89.5,90.7,50.1
69,University of Helsinki,73.7,84.3,55.7,92.9,56.8,14.7,59.9
71,The University of Sheffield,73.3,79.3,84.7,59.4,80.4,91.4,62
71,University of Geneva,73.3,66.6,36.9,64.8,100,99,98.9
71,University of Texas at Austin,73.3,98.5,87.9,21.1,57.9,26.5,82
74,Leiden University,73.2,86.6,59.8,44.5,68.8,22.7,94.3
