# RANK                    20162015201420132012                  2015,UNIVERSITY,OVERALL SCORE,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty
1,Massachusetts Institute of Technology (MIT),100,100,100,100,100,95.5,100,84,96.6,93.1,96.5,92.1
2,Harvard University,98.7,100,100,98.6,99.9,76,100,98.2,89.6,98.2,96,98.4
=3,University of Cambridge,98.6,100,100,100,96.2,96.6,93.7,98.2,94.1,94.3,96,94.2
=3,Stanford University,98.6,100,100,99.5,97.6,72.8,99.9,90.4,94.9,92.1,95.1,92.8
5,California Institute of Technology (Caltech),97.9,99.8,89.6,100,90.2,85.2,100,64.4,86.7,74.3,91.5,70.2
6,University of Oxford,97.7,100,100,100,97.8,96.6,88.9,99.1,90.1,94.2,94.5,94.7
7,UCL (University College London),97.2,99.9,99.8,98.6,95.5,99.9,88,84.7,80.4,87.6,81.1,81.9
8,Imperial College London,96.1,99.9,100,99.9,100,100,79.6,65.5,91,86.7,89.7,76.5
9,ETH Zurich - Swiss Federal Institute of Technology,95.5,99.9,99,78.6,100,98,98.8,64.6,92.3,80.6,93.1,75.3
10,University of Chicago,94.6,99.9,96.3,93.8,73.4,81.6,91.5,86.4,73.8,80.1,86.2,88.7
11,Princeton University,94.4,100,98.5,92.9,47.2,68.2,100,88.5,83.7,73,89.6,85.9
12,National University of Singapore (NUS),94.2,100,100,92.9,100,92.5,78.9,85.7,92.5,85.6,91.3,88.8
13,"Nanyang Technological University, Singapore (NTU)",93.9,95.3,97.5,94.2,100,94,86.5,75.9,92,70.6,87.1,83.6
14,Ecole Polytechnique Fédérale de Lausanne (EPFL),93.8,89.1,93.6,93.6,100,100,99.3,,86.6,72.7,88.6,
15,Yale University,92.2,100,100,100,89.9,65.5,71.3,89.6,78,88.1,87.6,88
16,Johns Hopkins University,91.9,97.2,74,100,96.6,71.2,84.9,71.4,71.7,92.1,76.7,70.3
17,Cornell University,91.8,99.9,96.7,73.9,90.2,66,97.1,80.3,81.9,83.8,85.3,80.4
18,University of Pennsylvania,91.5,98.8,97.4,100,52.9,66.6,80.5,78.7,78.1,85.2,80.9,85.7
=19,King's College London,91,95.2,95.9,89.9,95.4,98.2,77.5,81.8,70.8,84.3,72.4,77.9
=19,The Australian National University,91,99.6,94.4,68.9,100,96.7,89.4,86.2,81.3,75.1,86.2,84.7
21,The University of Edinburgh,90.8,99.7,98,85.3,93.1,97.9,71.5,82.8,77.1,83.2,81.1,76.8
22,Columbia University,89.7,100,99.4,100,33,89.8,67,87.9,79.2,84.7,84.3,87.3
23,"Ecole normale supérieure, Paris",89.2,89.6,78.9,91.9,55.6,82.6,100,66.9,,,77.6,
24,McGill University,88.6,99.1,94.7,80.8,88.3,92.3,70.4,78.5,77.6,81.6,81.3,77.5
25,Tsinghua University,88.5,99.6,99.5,87.5,47.8,36.1,84.2,74.8,88.4,69,84.5,78.9
26,"University of California, Berkeley (UCB)",88.4,100,99.9,46.9,96.8,79.3,99.9,91,90.7,86.9,93,88.4
27,"University of California, Los Angeles (UCLA)",88.2,100,99.7,74.2,57.4,49,89.6,86.9,84,87.7,85.6,84.6
28,The Hong Kong University of Science and Technology,88,94.3,91.8,65.8,100,97,89.4,65.5,87.4,61.6,83.4,82.8
29,Duke University,87.9,96.4,84.6,99.8,,57.4,85.4,77.6,72.7,85.4,78.3,77.4
=30,The University of Hong Kong,87.8,99.5,97.4,84.5,100,98.6,56.3,83.1,83.5,80.9,87.1,86.3
=30,University of Michigan,87.8,99.9,91.4,81.3,65.4,42.2,84.5,78.9,81.7,83.7,82.7,80.9
32,Northwestern University,87.7,94,81.1,92.3,,51.7,96.4,71.7,78.4,77,82.5,80.3
33,The University of Manchester,87.2,99.3,99.9,79.4,83.9,97.1,61.9,76.9,80.8,78.2,81.6,80.6
34,University of Toronto,87.1,99.9,95.6,82.6,97.1,90.3,57.3,82.6,80.7,87.2,83.2,79.6
35,London School of Economics and Political Science (LSE),86.2,93.8,100,65,100,100,77.6,82.8,,,,96.1
36,Seoul National University,85.3,99.2,96.6,84.2,30.2,,79,79.9,87.1,78.7,85.3,83.4
