University,# RANK2018,OVERALL SCORE-18,Academic Reputation-18,Citations per Faculty-18,Employer Reputation-18,Faculty Student-18,International Faculty-18,International Students-18
Massachusetts Institute of Technology (MIT),1,100,100,99.9,100,100,100,96.1
Stanford University,2,98.7,100,99.4,100,100,99.6,72.7
Harvard University,3,98.4,100,99.9,100,98.3,96.5,75.2
University of Cambridge,5,95.6,100,78.3,100,100,97.4,97.7
California Institute of Technology (Caltech),4,97.7,99.5,100,85.4,100,93.4,89.2
University of Oxford,6,95.3,100,76.3,100,100,98.6,98.5
UCL (University College London),7,94.6,99.7,74.7,99.5,99.1,96.6,100
ETH Zurich - Swiss Federal Institute of Technology,10,93.3,99.6,98.7,99.4,68.2,100,98.8
Imperial College London,8,93.7,99.4,68.7,100,100,100,100
University of Chicago,9,93.5,99.9,85.9,92.9,96.5,71.9,79.8
Princeton University,13,91,100,100,97.3,70.9,67.4,70.8
National University of Singapore (NUS),15,90.5,100,66.2,99.9,88.8,100,86.1
"Nanyang Technological University, Singapore (NTU)",11,92.2,93.9,83.3,96.6,93.6,100,88.2
Ecole Polytechnique Fédérale de Lausanne (EPFL),12,91.2,83,99.2,95.5,92,100,100
Yale University,16,90.4,100,63.2,99.8,100,90.7,61.7
Cornell University,14,90.7,99.6,96.2,93.7,67.4,92.2,79.2
Johns Hopkins University,17,89.8,94.3,83.9,66.4,100,87.9,81.3
University of Pennsylvania,19,88.7,97.4,67.4,94.9,100,67.1,64.5
The University of Edinburgh,23,86.9,99.1,55.5,96.6,83.2,94.9,98.6
Columbia University,18,88.9,99.9,62.3,98.1,100,34.7,94.9
King's College London,23,86.9,92.8,64.8,92.4,87.6,97.4,99.2
The Australian National University,20,87.1,99.3,85.6,90.4,55.3,100,98.8
University of Michigan,21,87,99.7,66.7,92.2,89.6,78,51.2
Tsinghua University,25,85.6,99.2,75.3,99.6,86.7,42.1,25.6
Duke University,21,87,94,91.4,78.1,98.1,,56.6
Northwestern University,28,84.8,91.3,75.4,76.6,98.6,57.9,55
The University of Hong Kong,26,85.5,99.1,46.3,93.4,85.3,100,99.4
"University of California, Berkeley (UCB)",27,84.9,100,99.3,99.9,36.2,97.7,54.6
The University of Manchester,34,83,97.4,47.5,99.4,75.4,89.3,98.3
McGill University,32,83.9,96.9,61.4,96.1,69.4,88.9,95.6
"University of California, Los Angeles (UCLA)",33,83.6,100,97.5,99.4,43.7,54,50
University of Toronto,31,84,99.7,50,95.6,74.5,97,92.1
"Ecole normale supérieure, Paris",43,79.9,80.2,100,78.6,60.4,94.4,60.4
The University of Tokyo,28,84.8,100,73.3,99.8,92.6,,
Seoul National University,36,81.5,98.9,70.6,97.4,79.8,23,
The Hong Kong University of Science and Technology,30,84.3,93,87.7,87.2,54.9,100,93
Kyoto University,36,81.5,99.7,56.4,94.9,95.7,,
London School of Economics and Political Science (LSE),35,81.8,90.3,71.7,100,55.9,100,100
Peking University,38,80.8,99.8,61.7,99.9,66.6,52.8,48.5
"University of California, San Diego (UCSD)",38,80.8,96,90.3,61.3,58.9,64.6,59.9
University of Bristol,44,79.5,85.7,56.4,95.5,79.2,87.9,79.2
The University of Melbourne,41,80.4,99.8,77.2,99.5,26.2,94.7,99.7
Fudan University,40,80.6,91.4,63.7,97.1,76.1,79.5,45.2
The Chinese University of Hong Kong (CUHK),46,78.8,94.3,50.7,83.3,66,99.8,84.9
University of British Columbia,51,77.9,99.1,63.7,95.5,37.9,91.5,72.2
The University of Sydney,50,78,99.3,70.3,98.3,,100,98.1
New York University (NYU),52,77.3,97.9,23.4,92.6,95.5,,84.1
KAIST - Korea Advanced Institute of Science & Technology,41,80.4,89.4,99.5,87.4,70.1,25.2,
The University of New South Wales (UNSW Sydney),45,78.9,96.4,79.8,98.4,,100,97.8
Brown University,53,76.5,72.5,92.5,56.9,80.3,80.2,60.9
The University of Queensland,47,78.6,94.6,83.4,84.1,30.8,100,87.3
The University of Warwick,57,74.4,83.5,54.1,98.9,51.2,98,99
University of Wisconsin-Madison,55,75.8,94,54.2,62.1,84,53.2,30.9
Ecole Polytechnique,59,74,61.2,50.8,99.9,99.3,96.4,90.8
City University of Hong Kong,49,78.4,70.8,91.5,50.5,83.6,100,97.5
Tokyo Institute of Technology,56,74.8,83.1,62.4,83.7,90.1,26.5,24.4
University of Amsterdam,58,74.3,90.1,83.5,66.1,45.2,75.4,38.9
Carnegie Mellon University,47,78.6,85,95.6,85.1,43.2,62.3,100
University of Washington,61,72.9,92.3,98.8,56.7,28,57.2,39.4
Technical University of Munich,64,72,86.3,26.6,98.7,86.4,53,44.8
Shanghai Jiao Tong University,62,72.5,87,81.5,97.4,36.7,69.2,
Delft University of Technology,54,76.1,79.7,91.6,91,36.7,97.7,87.4
