Column 1,Column 2,Column 3,Column 4
1 100.0,Rockefeller University,,
2 100.0,Baylor College of Medicine,,
3 100.0,"University of California, San Francisco",,
4 100.0,Weizmann Institute of Science,,
5 100.0,London School of Hygiene and Tropical Medicine,,
6 100.0,California Institute of Technology (Caltech),,
7 100.0,Yale University,,
8 100.0,Vanderbilt University,,
9 100.0,École Normale Supérieure de Lyon,,
10 100.0,University of Oxford,,
11 100.0,Tokyo Medical and Dental University (TMDU),,
12 100.0,National Research Saratov State University,,
13 100.0,Johns Hopkins University,,
14 100.0,"University of Colorado, Denver",,
15 100.0,Massachusetts Institute of Technology (MIT),,
16 100.0,University of Cambridge,,
17 100.0,University of Pennsylvania,,
18 100.0,Columbia University,,
19 99.9,Washington University in St. Louis,,
20 99.9,Wageningen University,,
21 99.9,Yokohama City University,,
22 99.9,University of Rochester,,
23 99.9,Imperial College London,,
24 99.9,University of Copenhagen,,
25 99.9,L.N. Gumilyov Eurasian National University,,
26 99.9,Wake Forest University,,
27 99.8,Bauman Moscow State Technical University,,
28 99.8,Duke University,,
29 99.6,Lomonosov Moscow State University,,
30 99.6,Universidad Externado de Colombia,,
31 99.6,Pohang University of Science And Technology (POSTECH),,
32 99.5,Stanford University,,
33 99.4,National Yang Ming University,,
34 99.4,Eindhoven University of Technology,,
35 99.3,Cranfield University,,
36 99.3,Karolinska Institutet,,
37 99.2,Ecole Polytechnique,,
38 99.1,Moscow Institute of Physics and Technology State University,,
39 98.8,Kyushu University,,
40 98.6,Harvard University,,
41 98.6,UCL (University College London),,
42 97.8,Yeshiva University,,
43 97.7,Case Western Reserve University,,
44 97.6,Moscow State Institute of International Relations (MGIMO University),,
45 97.1,Tohoku University,,
46 97.0,Saint-Petersburg State University,,
47 96.3,The University of Tokyo,,
48 95.4,Technical University of Denmark,,
49 95.3,University of Antwerp,,
50 95.2,University of Lausanne,,
51 95.0,Vrije Universiteit Brussel (VUB),,
52 94.8,New York University (NYU),,
53 94.6,University of Helsinki,,
54 94.5,Hanyang University,,
55 94.3,University of Miami,,
56 94.2,"Nanyang Technological University, Singapore (NTU)",,
57 94.1,Kyoto University,,
58 94.1,Universiti Malaya (UM),,
59 93.8,University of Pittsburgh,,
60 93.8,University of Chicago,,
61 93.7,Nagoya University,,
62 93.7,Peter the Great Saint-Petersburg Polytechnic University,,
63 93.6,EPFL (Ecole Polytechnique Fédérale de Lausanne),,
64 93.6,École des Ponts ParisTech,,
65 92.9,Princeton University,,
66 92.9,Universidad Austral,,
67 92.9,National University of Singapore (NUS),,
68 92.6,Sciences Po Paris,,
69 92.6,Aalto University,,
70 92.5,University of Tromsø The Arctic University of Norway,,
71 92.5,University of Turku,,
