Column 1,Column 2,Column 3,Column 4
1 100.0,London Business School,,
2 100.0,American University of Sharjah,,
3 100.0,American University in Dubai,,
4 100.0,Arabian Gulf University,,
5 100.0,King Abdullah University of Science & Technology,,
6 100.0,Cranfield University,,
7 100.0,Abu Dhabi University,,
8 100.0,London School of Economics and Political Science (LSE),,
9 100.0,London School of Hygiene and Tropical Medicine,,
10 100.0,University of Sharjah,,
11 100.0,EPFL (Ecole Polytechnique Fédérale de Lausanne),,
12 100.0,"SOAS, University of London",,
13 100.0,Imperial College London,,
14 100.0,Illinois Institute of Technology,,
15 100.0,City University London,,
16 99.9,Maastricht University,,
17 99.9,Heriot-Watt University,,
18 99.9,UCL (University College London),,
19 99.9,University of St Andrews,,
20 99.8,HEC Paris School of Management,,
21 99.7,Qatar University,,
22 99.7,ESCP Europe,,
23 99.7,University of Essex,,
24 99.6,Middlesex University,,
25 99.3,Queen Mary University of London,,
26 99.3,Carnegie Mellon University,,
27 99.0,University of Geneva,,
28 99.0,Coventry University,,
29 98.9,Brunel University London,,
31 98.6,The University of Hong Kong,,
32 98.6,Universität Innsbruck,,
33 98.6,The University of Adelaide,,
34 98.5,Swinburne University of Technology,,
35 98.4,Rockefeller University,,
36 98.4,"Kingston University, London",,
37 98.2,Kings College London,,
38 98.1,"Goldsmiths, University of London",,
39 98.1,The University of Warwick,,
40 98.0,Royal Holloway University of London,,
41 98.0,ETH Zurich - Swiss Federal Institute of Technology,,
42 97.9,The University of Edinburgh,,
43 97.9,The University of Melbourne,,
45 97.8,"Birkbeck, University of London",,
46 97.7,University of Surrey,,
47 97.3,London Metropolitan University,,
48 97.2,Sciences Po Paris,,
49 97.1,University of Leicester,,
50 97.1,The University of Manchester,,
51 97.1,ESSEC Business School,,
51 96.9,University of Sussex,,
52 97.0,The Hong Kong University of Science and Technology,,
53 96.7,The Australian National University,,
54 96.6,University of Cambridge,,
55 96.6,University of Oxford,,
56 96.2,École des Ponts ParisTech,,
58 96.0,University of St.Gallen (HSG),,
59 95.8,University of Greenwich,,
60 95.8,Lancaster University,,
61 95.5,Auckland University of Technology (AUT),,
62 95.5,Massachusetts Institute of Technology (MIT),,
63 95.4,City University of Hong Kong,,
64 95.1,University of Liverpool,,
65 95.0,The University of Sheffield,,
66 94.9,Universite libre de Bruxelles,,
67 94.9,Ecole Centrale de Paris,,
68 94.4,University of Aberdeen,,
68 94.3,University of East London,,
69 94.4,University of Glasgow,,
70 94.2,University of Groningen,,
71 94.2,University of Macau,,
72 94.0,"Nanyang Technological University, Singapore (NTU)",,
73 94.0,Queen's University Belfast,,
74 93.8,Stevens Institute of Technology,,
75 93.7,Monash University,,
76 93.4,University of Vienna,,
77 93.2,University of Technology Sydney,,
78 93.1,Universidad de Palermo (UP),,
79 93.0,Aston University,,
79 93.1,New School University,,
80 92.7,The University of New South Wales (UNSW Australia),,
81 92.5,National University of Singapore (NUS),,
82 92.3,McGill University,,
83 92.3,University of Southampton,,
84 92.1,La Trobe University,,
85 91.7,Simon Fraser University,,
86 91.4,Charles Darwin University,,
87 91.3,Peoples' Friendship University of Russia,,
88 91.1,Paris Lodron University of Salzburg,,
89 90.4,University of Bradford,,
90 90.4,University of Bath,,
90 90.3,University of Toronto,,
91 90.2,Hong Kong Baptist University,,
92 90.1,V. N. Karazin Kharkiv National University,,
93 89.8,Columbia University,,
94 89.8,The University of Sydney,,
95 89.7,University of Reading,,
96 89.4,Bond University,,
97 89.1,University of Kent,,
98 88.7,Northeastern University,,
99 88.6,Newcastle University,,
100 88.5,Ecole Polytechnique,,
101 88.4,The University of Auckland,,
102 88.3,Lincoln University,,
103 88.1,Durham University,,
104 87.6,The University of Nottingham,,
105 87.4,Vienna University of Technology,,
106 87.1,Rice University,,
107 87.1,The University of Exeter,,
109 86.9,University of Tulsa,,
110 86.9,Georgia Institute of Technology,,
111 86.8,United Arab Emirates University,,
112 86.7,Concordia University,,
113 86.5,Wageningen University,,
114 86.1,University of Huddersfield,,
115 86.0,Université Paris Dauphine,,
116 85.7,Universidad de Belgrano,,
117 85.7,Cardiff University,,
118 85.6,University of East Anglia (UEA),,
119 85.2,EBS Business School,,
120 85.2,California Institute of Technology (Caltech),,
121 85.1,University of Basel,,
122 84.6,University of Hertfordshire,,
123 84.6,"Stony Brook University, State University of New York",,
124 84.6,Trinity College Dublin,,
125 84.1,Institut National des Sciences Appliquées de Lyon (INSA),,
126 83.6,Oxford Brookes University,,
127 83.4,Dublin Institute of Technology,,
128 83.4,University of Birmingham,,
129 82.9,University of Alberta,,
130 82.6,"Ecole normale supérieure, Paris",,
131 82.4,Jordan University of Science & Technology,,
132 82.4,The University of Queensland,,
133 82.3,New York University (NYU),,
134 82.0,The Hong Kong Polytechnic University,,
135 81.6,University of Chicago,,
136 81.2,University of Bristol,,
137 81.1,University of York,,
138 80.7,RMIT University,,
139 80.5,University of Portsmouth,,
140 80.1,Université de Montréal,,
141 79.6,University of Dundee,,
143 79.3,"University of California, Berkeley (UCB)",,
144 79.0,University of Tasmania,,
145 78.7,Victoria University,,
146 78.5,Université Nice Sophia-Antipolis,,
147 78.3,Macquarie University,,
148 78.1,Rhodes University,,
149 78.1,Purdue University,,
150 77.9,University of Lausanne,,
151 77.8,Clark University,,
152 77.8,University of Waikato,,
153 77.8,University of Rochester,,
154 77.3,Universiti Malaya (UM),,
155 76.0,Harvard University,,
156 75.8,Uppsala University,,
157 75.7,Brandeis University,,
158 75.7,University of Waterloo,,
159 75.1,Robert Gordon University,,
160 74.8,Technical University of Denmark,,
161 74.1,University of Southern California,,
162 73.9,King Fahd University of Petroleum & Minerals,,
163 73.8,University of Strathclyde,,
164 73.8,International Islamic University Malaysia (IIUM),,
165 73.7,American University of Beirut (AUB),,
166 73.7,Boston University,,
167 73.7,Worcester Polytechnic Institute,,
168 73.7,University of Leeds,,
169 73.4,University of Twente,,
170 72.8,Stanford University,,
171 72.7,Lund University,,
172 72.7,Curtin University,,
173 72.7,University at Buffalo SUNY,,
174 72.4,Karolinska Institutet,,
175 72.1,University of Salford,,
176 71.8,Edith Cowan University,,
177 71.5,Loughborough University,,
178 71.3,Bangor University,,
179 71.2,Johns Hopkins University,,
180 71.2,Delft University of Technology,,
180 71.3,Swansea University,,
181 70.9,University of Southern Queensland,,
182 70.5,University of Canberra,,
183 70.0,University of Illinois at Urbana-Champaign,,
184 69.9,"University of California, Irvine",,
185 69.9,King Abdulaziz University (KAU),,
186 69.6,University of Wollongong,,
187 69.4,Vrije Universiteit Brussel (VUB),,
188 69.2,Griffith University,,
189 69.2,Universität Stuttgart,,
190 69.0,"Université Lille 1, Sciences et Technologies",,
191 68.6,Universidad de Alcalá,,
192 68.2,Princeton University,,
193 68.1,National Research Tomsk Polytechnic University,,
194 67.8,University of Stirling,,
195 67.7,Alpen-Adria-Universitaet Klagenfurt,,
196 66.6,University of Pennsylvania,,
197 66.4,Universiti Teknologi Malaysia,,
198 66.2,Brown University,,
199 66.1,Victoria University of Wellington,,
200 66.0,Université de Liège,,
201 66.0,University of Otago,,
202 66.0,Cornell University,,
203 65.6,The University of Western Australia,,
204 65.5,Yale University,,
205 65.4,Université Catholique de Louvain (UCL),,
206 65.3,Erasmus University Rotterdam,,
207 65.3,Case Western Reserve University,,
208 65.2,Technische Universität München,,
209 64.7,University of Calgary,,
210 64.7,Syracuse University,,
211 64.5,Université Paris 1 Panthéon-Sorbonne,,
212 64.5,Copenhagen Business School,,
213 64.1,Lebanese American University,,
214 64.0,Singapore Management University,,
215 63.7,The Chinese University of Hong Kong,,
216 63.7,University College Dublin,,
217 63.2,University of British Columbia,,
218 63.2,Dalhousie University,,
219 63.1,National Chiao Tung University,,
220 62.6,University of Zurich,,
221 62.6,Al Azhar University,,
222 61.9,University of Canterbury,,
223 61.0,University of South Australia,,
224 60.8,"University of Economics, Prague",,
225 60.2,Keele University,,
226 60.1,Ben Gurion University of The Negev,,
227 60.0,New Jersey Institute of Technology (NJIT),,
228 59.7,Université Panthéon-Assas (Paris 2),,
229 59.6,Ruprecht-Karls-Universitaet Heidelberg,,
230 59.2,Masaryk University,,
231 59.1,Carleton University,,
232 59.1,Technische Universität Darmstadt,,
233 58.8,Dublin City University,,
234 58.7,Washington University in St. Louis,,
235 58.6,Université Pierre Mendès France - Grenoble 2,,
236 58.6,University of Central Lancashire,,
237 58.1,Drexel University,,
238 58.0,Sumy State University,,
239 57.9,The University of Western Ontario,,
240 57.9,Khalifa University,,
241 57.7,"University of Illinois, Chicago (UIC)",,
242 57.6,University of Texas Dallas,,
243 57.4,Duke University,,
244 57.2,Universiti Putra Malaysia (UPM),,
245 57.0,Université Toulouse 1 Capitole,,
246 56.9,Technische Universität Berlin,,
247 56.5,National Taiwan Normal University,,
248 56.1,Lomonosov Moscow State University,,
249 56.1,Universität Duisburg-Essen,,
250 55.6,Deakin University,,
251 55.6,Michigan State University,,
252 55.2,The Ohio State University,,
253 54.8,University of Hull,,
254 54.6,University of Southern Denmark,,
255 54.6,Freie Universitaet Berlin,,
256 54.6,Queensland University of Technology (QUT),,
257 54.3,Georgetown University,,
258 54.2,Université de Strasbourg,,
259 53.7,Politecnico di Torino,,
260 53.6,Universität Frankfurt am Main,,
261 53.4,"National University of Ireland, Galway",,
262 53.2,Université Pierre et Marie Curie (UPMC),,
263 53.2,Hanyang University,,
264 53.1,"St. George's, University of London",,
265 53.0,Charles Sturt University,,
266 52.5,University of Cape Town,,
267 52.5,University of Debrecen,,
268 52.5,Universität des Saarlandes,,
269 52.5,"The University of Newcastle, Australia (UoN)",,
270 52.4,Brno University of Technology,,
271 52.3,Aberystwyth University,,
272 52.3,Lehigh University,,
273 52.0,Université Paris-Sorbonne (Paris IV),,
274 51.9,Abo Akademi University,,
275 51.7,Northwestern University,,
276 51.6,Université Stendhal Grenoble 3,,
277 51.6,Dartmouth College,,
278 51.6,University of Antwerp,,
279 51.4,Flinders University,,
280 51.1,Universiti Utara Malaysia (UUM),,
281 51.0,University of Lorraine,,
282 50.8,Universität Mannheim,,
283 50.8,University of Saskatchewan,,
284 50.7,RWTH Aachen University,,
285 50.6,McMaster University,,
286 50.4,Northumbria University at Newcastle,,
287 49.9,University of Jordan,,
288 49.7,University of Miami,,
289 49.6,Murdoch University,,
290 49.6,University of Navarra,,
291 49.5,George Washington University,,
292 49.5,Missouri S&T,,
293 49.4,Fudan University,,
294 49.2,Rensselaer Polytechnic Institute,,
295 49.2,University of Ottawa,,
296 49.2,Université de Technologie de Compiègne (UTC),,
297 49.0,"University of California, Los Angeles (UCLA)",,
298 48.7,Aalborg University,,
299 48.6,"KIT, Karlsruhe Institute of Technology",,
