Column 1,Column 2,Column 3,Column 4
1 100.0,Abu Dhabi University,,
1 100.0,American University in Dubai,,
1 100.0,University of Sussex,,
3 100.0,American University of Sharjah,,
4 100.0,King Abdullah University of Science & Technology,,
5 100.0,University of Sharjah,,
6 100.0,Khalifa University,,
7 100.0,Universidade Federal do Rio Grande Do Sul,,
8 100.0,University of Macau,,
9 100.0,London Business School,,
10 100.0,University of South Australia,,
11 100.0,Qatar University,,
12 100.0,United Arab Emirates University,,
13 100.0,ETH Zurich - Swiss Federal Institute of Technology,,
14 100.0,EPFL (Ecole Polytechnique Fédérale de Lausanne),,
15 100.0,"Nanyang Technological University, Singapore (NTU)",,
16 100.0,The Hong Kong University of Science and Technology,,
17 100.0,Macquarie University,,
18 100.0,ESCP Europe,,
19 100.0,King Fahd University of Petroleum & Minerals,,
20 100.0,City University of Hong Kong,,
21 100.0,The University of Hong Kong,,
22 100.0,University of Basel,,
23 100.0,HEC Paris School of Management,,
24 100.0,London School of Economics and Political Science (LSE),,
25 100.0,National University of Singapore (NUS),,
26 100.0,Curtin University,,
27 100.0,University of Otago,,
28 100.0,University of Geneva,,
29 100.0,King Khalid University,,
30 100.0,The Australian National University,,
31 100.0,Massachusetts Institute of Technology (MIT),,
32 100.0,The University of New South Wales (UNSW Australia),,
33 100.0,Singapore Management University,,
34 100.0,RMIT University,,
35 100.0,"SOAS, University of London",,
36 100.0,Sultan Qaboos University,,
37 100.0,University of Zurich,,
38 100.0,Imperial College London,,
39 100.0,Victoria University of Wellington,,
40 100.0,Eindhoven University of Technology,,
41 100.0,King Faisal University,,
42 100.0,Arabian Gulf University,,
43 100.0,University of St.Gallen (HSG),,
44 99.9,Harvard University,,
45 99.9,University of Wollongong,,
46 99.8,Dalhousie University,,
47 99.7,The University of Western Australia,,
48 99.6,The University of Queensland,,
49 99.4,University of Bern,,
50 99.4,The University of Sydney,,
51 99.3,The Hong Kong Polytechnic University,,
52 99.2,Al-Imam Mohamed Ibn Saud Islamic University,,
53 99.0,University of Canterbury,,
