Column,1,Column 2
1,100,Massachusetts Institute of Technology (MIT)
2,99.2,Harvard University
3,99,University of Cambridge
4,98.9,UCL (University College London)
5,98.8,Imperial College London
6,98.7,University of Oxford
7,96.8,Stanford University
8,96.5,Yale University
9,96.2,University of Chicago
10,96.1,California Institute of Technology (Caltech)
10,96.1,Princeton University
12,94.3,ETH Zurich - Swiss Federal Institute of Technology
13,93.8,University of Pennsylvania
14,93.6,Columbia University
15,92.5,Cornell University
16,92.1,Johns Hopkins University
17,91.3,The University of Edinburgh
17,91.3,University of Toronto
19,90.9,EPFL (Ecole Polytechnique Fédérale de Lausanne)
19,90.9,Kings College London
21,90.6,McGill University
22,90.5,University of Michigan
23,90.1,Duke University
24,89.4,National University of Singapore (NUS)
25,89,"University of California, Berkeley (UCB)"
26,88.6,The University of Hong Kong
27,88.5,The Australian National University
28,87.8,"Ecole normale supérieure, Paris"
29,87.3,Northwestern University
30,86.6,University of Bristol
31,86,The University of Melbourne
32,85.7,The University of Tokyo
33,85.2,The University of Manchester
34,84.4,The Hong Kong University of Science and Technology
35,84.1,Kyoto University
35,84.1,Seoul National University
37,83,University of Wisconsin-Madison
38,82.9,The University of Sydney
39,82.3,The Chinese University of Hong Kong (CUHK)
40,81.9,"University of California, Los Angeles (UCLA)"
41,81.1,Ecole Polytechnique
41,81.1,"Nanyang Technological University, Singapore (NTU)"
43,80.9,The University of Queensland
44,80.8,New York University (NYU)
45,80.5,University of Copenhagen
46,80,Peking University
47,79.8,Brown University
48,79.7,Tsinghua University
49,79.4,University of British Columbia
50,79.3,Ruprecht-Karls-Universitaet Heidelberg
51,78.9,University of Glasgow
52,78.8,The University of New South Wales (UNSW Australia)
53,78.5,Technische Universität München
54,77,"University of North Carolina, Chapel Hill"
55,76.9,Osaka University
56,76.7,University of Illinois at Urbana-Champaign
57,76.6,Carnegie Mellon University
58,76.4,University of Amsterdam
59,76.2,University of Washington
60,75.8,KAIST - Korea Advanced Institute of Science & Technology
61,75.1,Trinity College Dublin
63,74.8,"University of California, San Diego (UCSD)"
64,74.5,The University of Warwick
65,74.4,Ludwig-Maximilians-Universität München
66,74.2,Tokyo Institute of Technology
67,74,Lund University
68,73.9,London School of Economics and Political Science (LSE)
69,73.7,Monash University
69,73.7,University of Helsinki
71,73.3,The University of Sheffield
71,73.3,University of Geneva
71,73.3,University of Texas at Austin
74,73.2,Leiden University
75,73.1,The University of Nottingham
75,73.1,Tohoku University
77,73,KU Leuven
78,72.9,University of Zurich
79,72.5,Boston University
79,72.5,Uppsala University
81,72.3,Utrecht University
82,72,National Taiwan University (NTU)
83,71.6,University of St Andrews
84,71.4,The University of Western Australia
85,71.3,"University of California, Davis"
86,71,University of Southampton
86,71,Washington University in St. Louis
88,70.8,Fudan University
89,70.6,University of Oslo
90,70.4,Durham University
91,70.3,Aarhus University
92,70.2,Erasmus University Rotterdam
92,70.2,Université de Montréal
94,69.8,The University of Auckland
95,69.4,Delft University of Technology
96,69.3,University of Alberta
97,69.2,University of Groningen
97,69.2,University of Leeds
99,68.4,Georgia Institute of Technology
99,68.4,Nagoya University
99,68.4,Purdue University
102,67.9,Albert-Ludwigs-Universitaet Freiburg
102,67.9,University of Minnesota
104,67.7,City University of Hong Kong
104,67.7,The University of Adelaide
106,67.6,University of Pittsburgh
107,67.5,Pennsylvania State University
107,67.5,Pohang University of Science And Technology (POSTECH)
109,66.9,Freie Universitaet Berlin
110,66.2,University of Basel
111,66.1,University of Lausanne
112,65.9,Université Pierre et Marie Curie (UPMC)
113,65.8,The Ohio State University
114,65.1,Yonsei University
114,65.2,University of York
115,64.8,Queen Mary University of London
116,64.7,"KIT, Karlsruhe Institute of Technology"
116,64.7,"University of Maryland, College Park"
118,64.5,KTH Royal Institute of Technology
119,64.1,Dartmouth College
120,63.9,Lomonosov Moscow State University
121,63.8,Maastricht University
122,63.7,Ghent University
123,63.6,Shanghai Jiao Tong University
125,63.2,University of Southern California
126,63.1,Humboldt-Universität zu Berlin
127,63,Universidade de São Paulo
128,62.8,Georg-August-University Goettingen
129,62.5,Newcastle University
130,62.2,"University of California, Santa Barbara (UCSB)"
130,62.2,University of Liverpool
132,62.1,University of Virginia
133,62,Kyushu University
134,61.8,Eberhard Karls Universität Tübingen
134,61.8,Technical University of Denmark
136,61.7,Cardiff University
136,61.7,Rice University
138,61.3,Université Catholique de Louvain (UCL)
139,61.2,University College Dublin
140,61,McMaster University
141,60.9,Emory University
141,60.9,The Hebrew University of Jerusalem
143,60.8,Radboud University
144,60.6,Hokkaido University
145,60.5,Korea University
145,60.5,University of Cape Town
147,60.1,RWTH Aachen University
148,59.9,University of Aberdeen
149,59.6,"University of California, Irvine"
150,59.4,Wageningen University
151,59.2,University of Bergen
151,59.2,University of Rochester
153,58.7,Texas A&M University
154,58.4,University of Bern
155,58.2,University of Otago
156,58.1,Lancaster University
157,58,Eindhoven University of Technology
158,57.7,École Normale Supérieure de Lyon
158,57.7,University of Vienna
160,57.6,University of Colorado Boulder
161,57.5,The Hong Kong Polytechnic University
162,57.4,Sungkyunkwan University (SKKU)
163,57.3,Rheinische Friedrich-Wilhelms-Universitt Bonn
163,57.3,Universidad Nacional Autónoma de México  (UNAM)
165,57.2,Zhejiang University
166,57,Pontificia Universidad Católica de Chile (UC)
167,56.9,Universiti Malaya (UM)
168,56.8,Universite libre de Bruxelles
168,56.8,The University of Exeter
170,56.4,Stockholm University
171,56.2,Michigan State University
172,56.1,Queen's University Belfast
