Column 2,Column
Massachusetts Institute of Technology (MIT),1
Harvard University,2
University of Cambridge,3
UCL (University College London),4
Imperial College London,5
University of Oxford,6
Stanford University,7
Yale University,8
University of Chicago,9
California Institute of Technology (Caltech),10
Princeton University,10
ETH Zurich - Swiss Federal Institute of Technology,12
University of Pennsylvania,13
Columbia University,14
Cornell University,15
Johns Hopkins University,16
The University of Edinburgh,17
University of Toronto,17
EPFL (Ecole Polytechnique Fédérale de Lausanne),19
Kings College London,19
McGill University,21
University of Michigan,22
Duke University,23
National University of Singapore (NUS),24
"University of California, Berkeley (UCB)",25
The University of Hong Kong,26
The Australian National University,27
"Ecole normale supérieure, Paris",28
Northwestern University,29
University of Bristol,30
The University of Melbourne,31
The University of Tokyo,32
The University of Manchester,33
The Hong Kong University of Science and Technology,34
Kyoto University,35
Seoul National University,35
University of Wisconsin-Madison,37
The University of Sydney,38
The Chinese University of Hong Kong (CUHK),39
"University of California, Los Angeles (UCLA)",40
Ecole Polytechnique,41
"Nanyang Technological University, Singapore (NTU)",41
The University of Queensland,43
New York University (NYU),44
University of Copenhagen,45
Peking University,46
Brown University,47
Tsinghua University,48
University of British Columbia,49
Ruprecht-Karls-Universitaet Heidelberg,50
University of Glasgow,51
The University of New South Wales (UNSW Australia),52
Technische Universität München,53
"University of North Carolina, Chapel Hill",54
Osaka University,55
University of Illinois at Urbana-Champaign,56
Carnegie Mellon University,57
University of Amsterdam,58
University of Washington,59
KAIST - Korea Advanced Institute of Science & Technology,60
Trinity College Dublin,61
"University of California, San Diego (UCSD)",63
The University of Warwick,64
Ludwig-Maximilians-Universität München,65
Tokyo Institute of Technology,66
Lund University,67
London School of Economics and Political Science (LSE),68
Monash University,69
University of Helsinki,69
The University of Sheffield,71
University of Geneva,71
University of Texas at Austin,71
Leiden University,74
The University of Nottingham,75
Tohoku University,75
KU Leuven,77
University of Zurich,78
Boston University,79
Uppsala University,79
Utrecht University,81
National Taiwan University (NTU),82
University of St Andrews,83
The University of Western Australia,84
"University of California, Davis",85
University of Southampton,86
Washington University in St. Louis,86
Fudan University,88
University of Oslo,89
Durham University,90
Aarhus University,91
Erasmus University Rotterdam,92
Université de Montréal,92
The University of Auckland,94
Delft University of Technology,95
University of Alberta,96
University of Groningen,97
University of Leeds,97
Georgia Institute of Technology,99
Nagoya University,99
Purdue University,99
Albert-Ludwigs-Universitaet Freiburg,102
University of Minnesota,102
City University of Hong Kong,104
The University of Adelaide,104
University of Pittsburgh,106
Pennsylvania State University,107
Pohang University of Science And Technology (POSTECH),107
Freie Universitaet Berlin,109
University of Basel,110
University of Lausanne,111
Université Pierre et Marie Curie (UPMC),112
The Ohio State University,113
Yonsei University,114
University of York,114
Queen Mary University of London,115
"KIT, Karlsruhe Institute of Technology",116
"University of Maryland, College Park",116
KTH Royal Institute of Technology,118
Dartmouth College,119
Lomonosov Moscow State University,120
Maastricht University,121
Ghent University,122
Shanghai Jiao Tong University,123
University of Southern California,125
Humboldt-Universität zu Berlin,126
Universidade de São Paulo,127
Georg-August-University Goettingen,128
Newcastle University,129
"University of California, Santa Barbara (UCSB)",130
University of Liverpool,130
University of Virginia,132
Kyushu University,133
Eberhard Karls Universität Tübingen,134
Technical University of Denmark,134
Cardiff University,136
Rice University,136
Université Catholique de Louvain (UCL),138
University College Dublin,139
McMaster University,140
Emory University,141
The Hebrew University of Jerusalem,141
Radboud University,143
Hokkaido University,144
Korea University,145
University of Cape Town,145
RWTH Aachen University,147
University of Aberdeen,148
"University of California, Irvine",149
Wageningen University,150
University of Bergen,151
University of Rochester,151
Texas A&M University,153
University of Bern,154
University of Otago,155
Lancaster University,156
Eindhoven University of Technology,157
École Normale Supérieure de Lyon,158
University of Vienna,158
University of Colorado Boulder,160
The Hong Kong Polytechnic University,161
Sungkyunkwan University (SKKU),162
Rheinische Friedrich-Wilhelms-Universitt Bonn,163
Universidad Nacional Autónoma de México  (UNAM),163
Zhejiang University,165
Pontificia Universidad Católica de Chile (UC),166
Universiti Malaya (UM),167
Universite libre de Bruxelles,168
The University of Exeter,168
Stockholm University,170
Michigan State University,171
Queen's University Belfast,172
Vrije Universiteit Brussel (VUB),172
University of Science and Technology of China,174
Case Western Reserve University,175
Nanjing University,175
Universitat Autònoma de Barcelona,177
University of Barcelona,178
University of Florida,179
University of Waterloo,180
Vanderbilt University,181
Vrije Universiteit Amsterdam,181
Technion - Israel Institute of Technology,183
Technische Universität Berlin,183
University Hamburg,186
University of Bath,187
Alma Mater Studiorum - University of Bologna,188
Georgetown University,189
Queen`s University at Kingston,189
Université Paris-Sud,189
"University of Illinois, Chicago (UIC)",192
Keio University,193
University of Sussex,193
Universidad Autónoma de Madrid,195
Aalto University,196
Sapienza University of Rome,196
Tel Aviv University,196
National Tsing Hua University,199
The University of Western Ontario,199
University of Calgary,201
Chalmers University of Technology,202
University of Leicester,202
Tufts University,204
Université Paris Diderot - Paris 7,205
University of Gothenburg,205
University of Turku,205
Universität Frankfurt am Main,208
Universidad de Buenos Aires (UBA),209
University College Cork,210
University of Tsukuba,210
The University of Arizona,212
University of Reading,213
Sciences Po Paris,214
