University,Rank14
Massachusetts Institute of Technology (MIT),1
University of Cambridge,2
Imperial College London,2
Harvard University,4
University of Oxford,5
UCL (University College London),5
Stanford University,7
California Institute of Technology (Caltech),8
Princeton University,9
Yale University,10
University of Chicago,11
ETH Zurich - Swiss Federal Institute of Technology,12
University of Pennsylvania,13
Columbia University,14
Johns Hopkins University,14
Kings College London,16
The University of Edinburgh,17
EPFL (Ecole Polytechnique Fédérale de Lausanne),17
Cornell University,19
University of Toronto,20
McGill University,21
National University of Singapore (NUS),22
University of Michigan,23
"Ecole normale supérieure, Paris",24
The Australian National University,25
Duke University,25
"University of California, Berkeley (UCB)",27
The University of Hong Kong,28
University of Bristol,29
The University of Manchester,30
The University of Tokyo,31
Seoul National University,31
The University of Melbourne,33
Northwestern University,34
Ecole Polytechnique,35
Kyoto University,36
"University of California, Los Angeles (UCLA)",37
The University of Sydney,37
"Nanyang Technological University, Singapore (NTU)",39
The Hong Kong University of Science and Technology,40
New York University (NYU),41
University of Wisconsin-Madison,41
University of British Columbia,43
The University of Queensland,43
University of Copenhagen,45
The Chinese University of Hong Kong (CUHK),46
Tsinghua University,47
The University of New South Wales (UNSW Australia),48
Ruprecht-Karls-Universitaet Heidelberg,49
University of Amsterdam,50
KAIST - Korea Advanced Institute of Science & Technology,51
Ludwig-Maximilians-Universität München,52
Brown University,52
Technische Universität München,54
Osaka University,55
University of Glasgow,55
Peking University,57
University of Zurich,57
"University of California, San Diego (UCSD)",59
Lund University,60
The University of Warwick,61
"University of North Carolina, Chapel Hill",62
University of Illinois at Urbana-Champaign,63
University of Birmingham,64
University of Washington,65
Carnegie Mellon University,65
University of Helsinki,67
Tokyo Institute of Technology,68
The University of Sheffield,69
Monash University,70
Fudan University,71
London School of Economics and Political Science (LSE),71
Tohoku University,71
Trinity College Dublin,71
Leiden University,75
National Taiwan University (NTU),76
The University of Nottingham,77
Boston University,78
University of Texas at Austin,79
Utrecht University,80
Uppsala University,81
KU Leuven,82
Université de Montréal,83
University of Alberta,84
University of Geneva,85
Delft University of Technology,86
Pohang University of Science And Technology (POSTECH),86
University of St Andrews,88
The University of Western Australia,89
University of Groningen,90
Erasmus University Rotterdam,90
The University of Auckland,92
Durham University,92
University of Southampton,94
"University of California, Davis",95
Aarhus University,96
University of Leeds,97
Queen Mary University of London,98
Washington University in St. Louis,99
The University of Adelaide,100
University of Oslo,101
Purdue University,102
Nagoya University,103
Shanghai Jiao Tong University,104
University of Lausanne,105
Yonsei University,106
Georgia Institute of Technology,107
City University of Hong Kong,108
The Ohio State University,109
KTH Royal Institute of Technology,110
University of Pittsburgh,111
Pennsylvania State University,112
McMaster University,113
Lomonosov Moscow State University,114
Université Pierre et Marie Curie (UPMC),115
Korea University,116
University of Basel,116
Maastricht University,118
University of Minnesota,119
University of York,120
Albert-Ludwigs-Universitaet Freiburg,121
"University of Maryland, College Park",122
Cardiff University,123
University of Liverpool,123
Technical University of Denmark,123
Kyushu University,126
"KIT, Karlsruhe Institute of Technology",127
Newcastle University,127
Ghent University,129
Rice University,129
University of Southern California,131
Universidade de São Paulo,132
"University of California, Santa Barbara (UCSB)",132
Humboldt-Universität zu Berlin,134
Hokkaido University,135
Dartmouth College,136
University of Aberdeen,137
The Hebrew University of Jerusalem,138
University College Dublin,139
Sungkyunkwan University (SKKU),140
University of Cape Town,141
Eberhard Karls Universität Tübingen,141
University of Virginia,141
Zhejiang University,144
University of Bern,145
Georg-August-University Goettingen,146
RWTH Aachen University,147
University of Science and Technology of China,147
Eindhoven University of Technology,147
Freie Universitaet Berlin,150
Universiti Malaya (UM),151
Wageningen University,151
"University of California, Irvine",153
Université Catholique de Louvain (UCL),154
University of Bergen,155
University of Vienna,156
Radboud University,156
Emory University,156
University of Otago,159
Lancaster University,160
The University of Exeter,161
Nanjing University,162
The Hong Kong Polytechnic University,162
University of Rochester,164
Texas A&M University,165
University of Barcelona,166
Pontificia Universidad Católica de Chile (UC),167
National Tsing Hua University,167
University of Waterloo,169
Queen's University Belfast,170
Vrije Universiteit Amsterdam,171
University of Calgary,171
Universitat Autònoma de Barcelona,173
Universite libre de Bruxelles,173
Universidad Nacional Autónoma de México  (UNAM),175
Chalmers University of Technology,175
