RANK,Score,University,Column 3,Column 4
1,100,Harvard University,,
2,100,University of Cambridge,,
3,100,University of Oxford,,
4,100,"University of California, Berkeley (UCB)",,
5,100,Stanford University,,
6,100,Massachusetts Institute of Technology (MIT),,
7,100,The University of Tokyo,,
8,100,"University of California, Los Angeles (UCLA)",,
9,100,National University of Singapore (NUS),,
10,100,Yale University,,
11,100,Princeton University,,
12,100,Columbia University,,
13,99.9,University of Chicago,,
14,99.9,University of Toronto,,
15,99.9,UCL (University College London),,
16,99.9,Peking University,,
17,99.9,Imperial College London,,
18,99.9,Kyoto University,,
19,99.9,ETH Zurich - Swiss Federal Institute of Technology,,
20,99.9,University of Michigan,,
21,99.9,Cornell University,,
22,99.8,The University of Melbourne,,
23,99.8,California Institute of Technology (Caltech),,
24,99.7,The University of Edinburgh,,
25,99.6,University of British Columbia,,
26,99.6,The Australian National University,,
27,99.6,Tsinghua University,,
28,99.5,The University of Hong Kong,,
29,99.5,The University of Sydney,,
30,99.3,The University of Manchester,,
31,99.2,Seoul National University,,
32,99.1,McGill University,,
33,98.8,University of Pennsylvania,,
34,98.8,New York University (NYU),,
35,98.5,University of Texas at Austin,,
36,98.1,Ludwig-Maximilians-Universität München,,
37,98,National Taiwan University (NTU),,
38,98,"University of California, San Diego (UCSD)",,
39,97.7,University of Illinois at Urbana-Champaign,,
40,97.4,University of Wisconsin-Madison,,
41,97.2,Johns Hopkins University,,
42,96.9,The University of New South Wales (UNSW Australia),,
43,96.6,Humboldt-Universität zu Berlin,,
44,96.4,Duke University,,
45,95.9,Universidad Nacional Autónoma de México (UNAM),,
46,95.7,Universidad de Buenos Aires (UBA),,
47,95.6,The University of Queensland,,
48,95.5,University of Washington,,
49,95.5,Ruprecht-Karls-Universitaet Heidelberg,,
50,95.4,The Chinese University of Hong Kong,,
51,95.3,Universidade de São Paulo,,
52,95.3,"Nanyang Technological University, Singapore (NTU)",,
53,95.2,Kings College London,,
54,95.1,University of Amsterdam,,
55,94.5,Monash University,,
56,94.3,The Hong Kong University of Science and Technology,,
57,94.1,Fudan University,,
58,94,Northwestern University,,
59,93.8,London School of Economics and Political Science (LSE),,
60,93.3,Freie Universitaet Berlin,,
61,92.7,The University of Auckland,,
62,92.5,Osaka University,,
63,92.4,KU Leuven,,
64,92.1,University of Bristol,,
65,90.7,Pontificia Universidad Católica de Chile (UC),,
66,90.4,The University of Warwick,,
67,90.4,Technische Universität München,,
68,89.6,"Ecole normale supérieure, Paris",,
69,89.4,KAIST - Korea Advanced Institute of Science & Technology,,
70,89.3,Lund University,,
71,89.1,EPFL (Ecole Polytechnique Fédérale de Lausanne),,
72,89.1,University of Copenhagen,,
73,88.8,Shanghai Jiao Tong University,,
74,88.1,Carnegie Mellon University,,
75,87.5,Alma Mater Studiorum - University of Bologna,,
76,87.5,University of Glasgow,,
77,87.1,Leiden University,,
78,86.9,University of Barcelona,,
79,86.2,Tokyo Institute of Technology,,
80,86,Université Paris-Sorbonne (Paris IV),,
81,86,Tohoku University,,
82,85.8,"University of California, Davis",,
83,85.7,Sapienza University of Rome,,
84,85.7,Pennsylvania State University,,
85,85.7,Uppsala University,,
86,84.6,Universidad de Chile,,
87,84.4,"University of California, Santa Barbara (UCSB)",,
88,84.2,Lomonosov Moscow State University,,
89,84.1,University of Minnesota,,
90,84.1,"University of North Carolina, Chapel Hill",,
91,83.9,Delft University of Technology,,
92,83.7,University of Helsinki,,
93,83.7,Utrecht University,,
94,82.5,University of Vienna,,
95,82.5,Trinity College Dublin,,
96,82.4,University of Birmingham,,
97,82,The Ohio State University,,
98,81.9,Brown University,,
99,81.8,Georgia Institute of Technology,,
100,81.7,University of Leeds,,
101,81.1,Université Paris 1 Panthéon-Sorbonne,,
102,81,Purdue University,,
103,80.6,The University of Nottingham,,
104,80.2,Zhejiang University,,
105,79.5,University of Alberta,,
106,79.5,Université de Montréal,,
107,79.4,Yonsei University,,
108,79.3,The University of Western Australia,,
109,79,The University of Sheffield,,
110,78.5,Boston University,,
111,78.5,RWTH Aachen University,,
112,78.4,Korea University,,
113,78.1,University of Zurich,,
114,78,Universitat Autònoma de Barcelona,,
115,76.9,University Complutense Madrid,,
116,76.9,Stockholm University,,
117,76.7,Nanjing University,,
118,76.5,Université Catholique de Louvain (UCL),,
119,76.3,Texas A&M University,,
120,76.3,Chulalongkorn University,,
121,75.4,Durham University,,
122,75.2,The University of Adelaide,,
123,75.1,Universidade estadual de Campinas(Unicamp),,
124,74.9,Aarhus University,,
125,74.2,Georg-August-University Goettingen,,
126,74.1,Albert-Ludwigs-Universitaet Freiburg,,
127,73.7,Nagoya University,,
128,73.5,Ecole Polytechnique,,
129,73.3,Waseda University,,
130,72.9,University of Southampton,,
131,72.7,City University of Hong Kong,,
132,72.5,Universidad Autonoma de Madrid,,
133,72.4,"University of California, San Francisco",,
134,72.3,Université Pierre et Marie Curie (UPMC),,
135,72.3,Université de Strasbourg,,
136,72.1,University of Science and Technology of China,,
137,71.5,Ghent University,,
138,71.5,University of Oslo,,
139,71.2,Universidad Nacional de Colombia,,
140,70.5,Technische Universität Berlin,,
141,70.4,University of Southern California,,
142,70,"University of Maryland, College Park",,
143,69.8,University of Geneva,,
144,69.8,Hokkaido University,,
145,69.8,Michigan State University,,
146,69.3,Kyushu University,,
147,69.1,The Hong Kong Polytechnic University,,
148,69.1,University of Groningen,,
149,68.9,Sungkyunkwan University (SKKU),,
150,68.9,University of Cape Town,,
151,68.9,University Hamburg,,
152,67.7,University of York,,
153,67.1,Rheinische Friedrich-Wilhelms-Universitt Bonn,,
154,66.9,The Hebrew University of Jerusalem,,
155,65.9,University of St Andrews,,
156,65.8,Keio University,,
157,65.8,Université Paris Diderot - Paris 7,,
158,65.6,Universidade Federal do Rio de Janeiro,,
159,65.5,Universidad de los Andes,,
160,65.3,University of Florida,,
161,65.2,National Tsing Hua University,,
162,64.7,Politecnico di Milano,,
163,64.7,Universität Frankfurt am Main,,
164,64.5,Eberhard Karls Universität Tübingen,,
165,64.3,Università di Padova,,
166,64.3,Vrije Universiteit Amsterdam,,
167,64.1,KTH Royal Institute of Technology,,
168,64,"KIT, Karlsruhe Institute of Technology",,
169,63.8,Cardiff University,,
170,63.4,Queen Mary University of London,,
171,63.3,"University of California, Irvine",,
172,62.7,University of Otago,,
173,62.3,Indian Institute of Technology Bombay (IITB),,
174,62.2,University College Dublin,,
175,62,Universiti Malaya (UM),,
176,61.7,University of Milan,,
177,61.7,McMaster University,,
178,61.6,Indiana University Bloomington,,
179,61,University of Waterloo,,
180,61,The University of Arizona,,
181,60.5,Karolinska Institutet,,
182,60.4,Washington University in St. Louis,,
183,60.3,Arizona State University,,
184,59.4,University of Pisa,,
185,59.1,Lancaster University,,
186,59,"University of Illinois, Chicago (UIC)",,
187,58.3,Aix-Marseille University,,
188,58.3,École Normale Supérieure de Lyon,,
189,58.2,University of Pittsburgh,,
190,58,Tel Aviv University,,
191,57.9,Charles University in Prague,,
192,56.4,Beijing Normal University,,
193,56.4,Universite libre de Bruxelles,,
194,56.1,Pohang University of Science And Technology (POSTECH),,
195,56,University of Colorado Boulder,,
196,55.6,Wageningen University,,
197,55.3,Indian Institute of Technology Delhi (IITD),,
198,55.1,Erasmus University Rotterdam,,
199,55.1,University of Liverpool,,
200,54.9,University of Calgary,,
201,54.5,University of Basel,,
202,54.2,Technion - Israel Institute of Technology,,
203,53.8,Queen`s University at Kingston,,
204,53.7,University of Massachusetts Amherst,,
205,53.7,University of Virginia,,
206,53.6,University of Aberdeen,,
207,53.3,University of Florence,,
208,53.2,University of Lausanne,,
209,52.9,Université Joseph Fourier - Grenoble 1,,
210,52.8,University of Gothenburg,,
211,52.7,"Rutgers, The State University of New Jersey, New Brunswick",,
212,52.5,Indian Institute of Science (IISc) Bangalore,,
213,52.3,University of Cologne,,
214,52.1,University of Tsukuba,,
215,52,The University of Exeter,,
216,51.4,Bandung Institute of Technology (ITB),,
217,51.3,University of Bath,,
218,51.2,Victoria University of Wellington,,
219,51.1,University of Reading,,
