Citation,Research,University
36.8,-,University of New England Australia
36.8,83.7,University of Helsinki
36.9,41.6,University of the Witwatersrand
37,-,University of New Hampshire
37.2,44,University of Coimbra
37.3,72.3,Université de Strasbourg
37.4,41.5,Aristotle University of Thessaloniki
37.4,34.7,Bilkent University
37.5,38.1,Université Claude Bernard Lyon 1
37.6,-,Binghamton University SUNY
37.7,-,Georgia State University
37.8,72.5,Universidad Autonoma de Madrid
37.9,-,National Taipei University of Technology
37.9,-,University of Oregon
37.9,-,City University London
38,-,Auburn University
38,-,Jilin University
38.1,47.7,Queensland University of Technology (QUT)
38.3,49.8,Georgetown University
38.4,-,Tokyo University of Science
38.5,53.2,University of Lausanne
38.8,86.9,University of Barcelona
38.8,52.8,University of Gothenburg
38.9,-,Lincoln University
38.9,37.6,Laval University
39.2,61.7,University of Milan
39.4,37.2,King Fahd University of Petroleum & Minerals
39.5,38.9,Curtin University
39.5,-,Universität Duisburg-Essen
39.7,-,New Jersey Institute of Technology (NJIT)
40.1,-,University of Mississippi
40.2,-,University of New Mexico
40.3,79.4,Yonsei University
40.3,-,Plymouth University
40.5,41.2,Deakin University
40.6,39.1,Washington State University
40.9,71.5,Ghent University
41,-,Concordia University
41.4,-,University of Miami
41.7,96.6,Humboldt-Universität zu Berlin
41.9,-,Swansea University
42,-,Bar-Ilan University
42.1,34.8,Griffith University
42.1,-,Baylor College of Medicine
42.2,-,University of Saskatchewan
42.3,-,Oregon State University
42.3,-,Copenhagen Business School
42.3,48.6,University of Technology Sydney
42.5,-,University of Tasmania
42.5,-,Perugia University
42.6,78.4,Korea University
42.6,34,University of South Australia
42.9,-,Carleton University
43.1,-,University of Oulu
43.2,-,Victoria University
43.3,95.5,Ruprecht-Karls-Universitaet Heidelberg
43.3,-,Universität Regensburg
43.4,46.6,Vanderbilt University
43.4,75.1,Universidade estadual de Campinas(Unicamp)
43.5,68.9,Sungkyunkwan University (SKKU)
43.8,-,Utah State University
43.8,-,Ecole Normale Supérieure de Cachan
43.9,-,University of Alabama
44.1,-,Abo Akademi University
44.2,-,University of Cincinnati
44.2,-,Charles Darwin University
44.9,-,Beijing Institute of Technology
44.9,85.7,Sapienza University of Rome
45,-,Bogaziçi Üniversitesi
45,-,University of Central Florida
45.1,45.2,Université de Montpellier
45.1,37.8,Université Paris Descartes
45.1,33.1,Xi’an Jiaotong University
45.2,37.2,Tongji University
45.2,-,Heriot-Watt University
45.4,-,University of Milano-Bicocca
45.7,73.7,Nagoya University
45.7,-,University of Nebraska - Lincoln
45.8,-,National Yang Ming University
45.8,56.4,Beijing Normal University
45.8,-,University of South Carolina
46.3,-,University of Hawai'i at Mañoa
46.3,46.3,Université Paris-Sud
46.4,-,Illinois Institute of Technology
46.5,-,University of Tehran
46.8,-,University of Guelph
46.9,-,Università degli Studi di Pavia
47,82,The Ohio State University
47,-,Worcester Polytechnic Institute
47.1,-,Northeastern University
47.2,-,University of Science and Technology Beijing
47.4,44.4,University College Cork
47.8,-,San Diego State University
47.9,34.1,Xiamen University
48,69.1,University of Groningen
48.2,34.4,The University of Georgia
48.3,65.3,University of Florida
48.4,69.8,Hokkaido University
48.5,38.7,Virginia Polytechnic Institute and State University
48.7,-,James Cook University
49.1,43,"The University of Newcastle, Australia (UoN)"
49.2,-,WHU - Otto Beisheim School of Management
49.4,-,"Stony Brook University, State University of New York"
49.4,34.8,University of Surrey
49.9,-,Clemson University
50,32.8,University of Leicester
50.1,55.1,University of Liverpool
50.1,37.4,University of Strathclyde
50.1,49.9,Queen's University Belfast
50.3,78,Universitat Autònoma de Barcelona
50.6,49.9,Wuhan University
51,-,Michigan Technological University
51,-,Aston University
51,-,Keele University
51.3,40.4,University of Iowa
51.3,-,Tianjin University
51.3,52.7,"Rutgers, The State University of New Jersey, New Brunswick"
51.4,42.4,Universitat Pompeu Fabra
52.9,55.6,Wageningen University
53,78.5,RWTH Aachen University
53.3,61.7,McMaster University
53.3,76.9,Stockholm University
53.3,54.9,University of Calgary
53.3,68.9,University of Cape Town
53.6,-,University of Waikato
53.8,-,University of Kentucky
53.8,63.8,Cardiff University
53.9,75.2,The University of Adelaide
53.9,-,Huazhong University of Science and Technology
54,-,Stevens Institute of Technology
54,-,Bangor University
54,-,Tokyo University of Agriculture and Technology
54.1,51.2,Victoria University of Wellington
54.1,-,University of Brescia
54.8,-,National Central University
55,-,University of Essex
55.1,-,"The University of Tennessee, Knoxville"
55.2,81.7,University of Leeds
55.4,-,Quaid-i-azam University
55.4,-,Hong Kong Baptist University
55.5,41.5,University of Naples - Federico II
55.8,49.6,Newcastle University
56.2,-,Brunel University London
56.3,99.5,The University of Hong Kong
56.3,-,University of Modena and Reggio Emilia
56.5,79.5,University of Alberta
56.6,65.8,Université Paris Diderot - Paris 7
56.8,98.1,Ludwig-Maximilians-Universität München
56.9,43.4,Norwegian University of Science And Technology
56.9,-,Colorado State University
57.3,99.9,University of Toronto
57.5,63.4,Queen Mary University of London
57.6,82.4,University of Birmingham
58.1,89.3,Lund University
58.2,34.8,National Taiwan University of Science and Technology (Taiwan Tech)
58.2,45.3,Sun Yat-sen University
58.5,-,China Medical University Taichung
58.5,92.7,The University of Auckland
58.5,-,Beihang University (former BUAA)
58.6,-,University of South Florida
58.8,48.4,Macquarie University
59,79,The University of Sheffield
59,47.3,University of Bergen
59,33,National Technical University of Athens
59.3,38.9,University of Rochester
59.3,-,University Ulm
59.4,66.9,The Hebrew University of Jerusalem
59.4,38.9,Loughborough University
59.5,59,"University of Illinois, Chicago (UIC)"
59.7,-,Chang Gung University
59.7,-,National Chung Hsing University
60.1,-,Southeast University
60.1,-,"St. George's, University of London"
60.4,-,University of Houston
60.4,62.7,University of Otago
60.5,32.7,University of Trento
60.5,-,University of Patras
60.5,-,University at Albany SUNY
60.6,37.5,Maastricht University
61,-,Cranfield University
61.1,71.5,University of Oslo
61.2,95.4,The Chinese University of Hong Kong
61.2,49.1,University of Canterbury
61.3,-,Clark University
61.3,93.3,Freie Universitaet Berlin
61.4,86,Tohoku University
61.5,56,University of Colorado Boulder
61.7,-,Rhodes University
61.9,99.3,The University of Manchester
61.9,49.3,University of Porto
61.9,80.6,The University of Nottingham
62,79.5,Université de Montréal
62,37.1,Florida State University
62.2,-,University of Stirling
62.6,53.7,University of Virginia
63,82.5,Trinity College Dublin
63,-,Julius-Maximilians-Universität Würzburg
63.1,62.2,University College Dublin
63.1,41,Universität Leipzig
63.2,-,University of Crete
63.2,46.7,University of Ottawa
63.4,-,Brandeis University
63.5,72.9,University of Southampton
63.5,50.5,Aalto University
63.9,-,University of Wollongong
64.1,53.6,University of Aberdeen
64.2,85.7,Uppsala University
64.3,-,Yeshiva University
64.4,87.5,University of Glasgow
64.6,-,Louisiana State University
64.7,74.1,Albert-Ludwigs-Universitaet Freiburg
64.9,100,The University of Tokyo
65.2,-,University of St.Gallen (HSG)
65.3,-,Lanzhou University
65.3,36.1,North Carolina State University
65.3,-,Singapore Management University
65.5,34.7,Boston College
65.6,-,Case Western Reserve University
65.6,62.3,Indian Institute of Technology Bombay (IITB)
65.8,64,"KIT, Karlsruhe Institute of Technology"
66.1,-,South China University of Technology
66.1,64.3,Vrije Universiteit Amsterdam
66.3,90.4,The University of Warwick
66.3,-,University of Connecticut
66.4,-,Clarkson University
66.5,45.4,Indian Institute of Technology Kanpur (IITK)
66.7,64.7,Politecnico di Milano
66.9,97.4,University of Wisconsin-Madison
66.9,52,The University of Exeter
67,100,Columbia University
67.1,-,Ben Gurion University of The Negev
67.1,55.1,Erasmus University Rotterdam
67.1,94.5,Monash University
67.6,-,Lehigh University
67.6,58.2,University of Pittsburgh
67.7,51.1,University of Reading
68.3,51.3,University of Bath
68.5,-,University of Utah
68.9,49.7,National Cheng Kung University
69,92.1,University of Bristol
69.2,92.5,Osaka University
69.4,32.7,National Sun Yat-sen University
69.6,50.5,Eindhoven University of Technology
70.4,99.1,McGill University
70.5,69.1,The Hong Kong Polytechnic University
70.8,69.8,Michigan State University
70.8,99.9,Peking University
70.9,-,Missouri S&T
71,36.4,Iowa State University
71.2,78.5,Boston University
71.3,100,Yale University
71.3,-,Tokyo Metropolitan University
71.5,99.9,Kyoto University
71.5,99.7,The University of Edinburgh
71.9,52.9,Université Joseph Fourier - Grenoble 1
71.9,61,The University of Arizona
72,37,Dalhousie University
72.5,-,Tilburg University
72.6,-,HEC Paris School of Management
72.7,99.5,The University of Sydney
73.3,81,Purdue University
73.5,-,Université de Liège
73.7,99.6,University of British Columbia
74.3,-,Ecole Centrale de Paris
74.9,-,Indian Institute of Technology Guwahati (IITG)
75.1,60.3,Arizona State University
75.2,40,Nankai University
75.4,53.8,Queen`s University at Kingston
75.7,73.5,Ecole Polytechnique
76,-,"Birkbeck, University of London"
76.1,79.3,The University of Western Australia
76.3,48.6,Chalmers University of Technology
76.5,-,Stockholm School of Economics
76.6,67.7,University of York
76.7,60.4,Washington University in St. Louis
76.7,70.4,University of Southern California
76.9,53.7,University of Massachusetts Amherst
77,48.4,University of Sussex
77.2,38.8,Politecnico di Torino
77.4,72.4,"University of California, San Francisco"
77.5,95.2,Kings College London
77.6,93.8,London School of Economics and Political Science (LSE)
77.7,-,University of Windsor
77.9,-,Royal Holloway University of London
78.1,-,London School of Hygiene and Tropical Medicine
78.3,-,Harbin Institute of Technology
78.5,-,University at Buffalo SUNY
78.5,50.3,The University of Western Ontario
78.7,34.2,Technische Universität Darmstadt
78.9,100,National University of Singapore (NUS)
78.9,36.7,University of East Anglia (UEA)
79,99.2,Seoul National University
79.6,99.9,Imperial College London
79.9,84.1,"University of North Carolina, Chapel Hill"
80,96.9,The University of New South Wales (UNSW Australia)
80.2,44.1,Technical University of Denmark
80.4,-,Tufts University
80.4,86.2,Tokyo Institute of Technology
80.5,98.8,University of Pennsylvania
80.9,99.8,The University of Melbourne
80.9,64.1,KTH Royal Institute of Technology
81,94.1,Fudan University
81.1,-,University of Victoria
81.4,49.2,Technische Universität Dresden
81.5,39.9,Stellenbosch University
81.7,74.9,Aarhus University
82.3,59.1,Lancaster University
82.3,41.4,Indian Institute of Technology Madras (IITM)
82.3,70,"University of Maryland, College Park"
