Rank,Teaching,University
1,100,University of Oxford
2,100,University of Cambridge
3,100,Harvard University
4,100,Massachusetts Institute of Technology (MIT)
5,100,London School of Economics and Political Science (LSE)
6,100,Stanford University
7,100,Ecole Centrale de Paris
8,100,Imperial College London
9,100,National University of Singapore (NUS)
10,100,London Business School
11,100,Yale University
12,99.9,INSEAD
13,99.9,The University of Manchester
14,99.9,"University of California, Berkeley (UCB)"
15,99.9,The University of Tokyo
16,99.8,Peking University
17,99.8,UCL (University College London)
18,99.8,The University of Melbourne
19,99.7,"University of California, Los Angeles (UCLA)"
20,99.7,The University of Warwick
21,99.6,HEC Paris School of Management
22,99.6,The University of New South Wales (UNSW Australia)
23,99.6,Ecole Polytechnique
24,99.5,Tsinghua University
25,99.4,The University of Sydney
26,99.4,Sungkyunkwan University (SKKU)
27,99.4,Columbia University
28,99,ETH Zurich - Swiss Federal Institute of Technology
29,98.9,Universidad de Buenos Aires (UBA)
30,98.5,Princeton University
31,98.4,Durham University
32,98.4,Università Commerciale Luigi Bocconi
33,98.3,Technische Universität München
34,98.3,Pontificia Universidad Católica de Chile (UC)
35,98.2,University of Bristol
36,98,The University of Edinburgh
37,97.8,New York University (NYU)
38,97.6,RWTH Aachen University
39,97.5,"Nanyang Technological University, Singapore (NTU)"
40,97.4,University of Pennsylvania
41,97.4,The University of Hong Kong
42,96.9,Monash University
43,96.9,Fudan University
44,96.7,Cornell University
45,96.7,The University of Nottingham
46,96.6,Kyoto University
47,96.6,Seoul National University
48,96.3,University of Chicago
49,96.2,"KIT, Karlsruhe Institute of Technology"
50,95.9,Shanghai Jiao Tong University
51,95.9,Kings College London
52,95.8,University of British Columbia
53,95.6,University of Toronto
54,95.2,University of St.Gallen (HSG)
55,94.9,University of Birmingham
56,94.7,McGill University
57,94.6,Universidade de São Paulo
58,94.5,ESSEC Business School
59,94.4,The Australian National University
60,93.6,EPFL (Ecole Polytechnique Fédérale de Lausanne)
61,93.6,The University of Auckland
62,93.2,Instituto Tecnológico y de Estudios Superiores de Monterrey
63,92.9,American University of Beirut (AUB)
64,92.8,Universidad de Chile
65,92.5,Universidad Nacional Autónoma de México (UNAM)
66,92.1,Universidad Nacional de Colombia
67,91.8,The Hong Kong University of Science and Technology
68,91.6,Ludwig-Maximilians-Universität München
69,91.4,University of Michigan
70,91.3,The University of Queensland
71,90.7,University of Leeds
72,90.7,Université Paris 1 Panthéon-Sorbonne
73,90.4,Erasmus University Rotterdam
74,89.8,Politecnico di Milano
75,89.6,California Institute of Technology (Caltech)
76,89.4,Delft University of Technology
77,89,University of Bath
78,88.5,Universität Mannheim
79,88.1,Technische Universität Darmstadt
80,88.1,University of Amsterdam
81,88,KTH Royal Institute of Technology
82,87.7,Universidad de los Andes
83,87.5,Indian Institute of Technology Bombay (IITB)
84,86.6,Yonsei University
85,86.6,KAIST - Korea Advanced Institute of Science & Technology
86,86.5,Chalmers University of Technology
87,86.2,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA
88,85.9,University of Technology Sydney
89,85.8,University of Texas at Austin
90,85.6,The Chinese University of Hong Kong
91,85.6,Boston University
92,85.3,Waseda University
93,85.3,RMIT University
94,85.2,University of Navarra
95,84.6,Korea University
96,84.6,Duke University
97,84.5,Tokyo Institute of Technology
98,84.5,ESCP Europe
99,84.2,Lund University
100,83.9,Carnegie Mellon University
101,82.3,Keio University
102,82.3,Technische Universität Berlin
103,82.1,Lomonosov Moscow State University
104,81.6,Indian Institute of Technology Delhi (IITD)
105,81.4,Oxford Brookes University
106,81.2,Stockholm School of Economics
107,81.1,Northwestern University
108,80.9,Osaka University
109,80.5,Ruprecht-Karls-Universitaet Heidelberg
110,80.1,Zhejiang University
111,80,Université Paris Dauphine
112,79.9,Universidade estadual de Campinas(Unicamp)
113,79.7,The University of Sheffield
114,79.4,City University London
115,79.4,University of Waterloo
116,79,University Complutense Madrid
117,78.9,"Ecole normale supérieure, Paris"
118,78.6,Université Paris-Sorbonne (Paris IV)
119,78.6,University of Wollongong
120,78.3,Sciences Po Paris
121,78.2,Georgia Institute of Technology
122,78,Copenhagen Business School
123,77.7,University of Copenhagen
124,77.4,The American University in Cairo
125,77.2,Purdue University
126,76.7,The University of Exeter
127,76.6,Humboldt-Universität zu Berlin
128,76.5,The University of Adelaide
129,76.4,KU Leuven
130,76.3,Universidad Adolfo Ibàñez
131,75.8,University of Illinois at Urbana-Champaign
132,75.6,Université de Montréal
133,75,National Taiwan University (NTU)
134,74.5,École des Ponts ParisTech
135,74.1,University of Barcelona
136,74,Johns Hopkins University
137,73.8,Trinity College Dublin
138,73.3,Pennsylvania State University
139,73.3,Cardiff University
140,73.2,Newcastle University
141,73.1,Pontificia Universidad Javeriana
142,72.7,University of Zurich
143,72.4,Università Cattolica del Sacro Cuore
144,72.4,University College Dublin
145,72.4,Université Catholique de Louvain (UCL)
146,72.1,Tohoku University
147,72.1,University of Delhi
148,71.6,Queensland University of Technology (QUT)
149,71.3,"University of California, San Diego (UCSD)"
150,71.2,Brown University
151,71.1,Vienna University of Technology
152,70.4,Cairo University
153,70.3,The University of Western Australia
154,70.1,University of York
155,70,American University
