Rank,University,Fac_Stud
1,Rockefeller University,100
2,Baylor College of Medicine,100
3,"University of California, San Francisco",100
4,Weizmann Institute of Science,100
5,London School of Hygiene and Tropical Medicine,100
6,California Institute of Technology (Caltech),100
7,Yale University,100
8,Vanderbilt University,100
9,École Normale Supérieure de Lyon,100
10,University of Oxford,100
11,Tokyo Medical and Dental University (TMDU),100
12,National Research Saratov State University,100
13,Johns Hopkins University,100
14,"University of Colorado, Denver",100
15,Massachusetts Institute of Technology (MIT),100
16,University of Cambridge,100
17,University of Pennsylvania,100
18,Columbia University,100
19,Washington University in St. Louis,99.9
20,Wageningen University,99.9
21,Yokohama City University,99.9
22,University of Rochester,99.9
23,Imperial College London,99.9
24,University of Copenhagen,99.9
25,L.N. Gumilyov Eurasian National University,99.9
26,Wake Forest University,99.9
27,Bauman Moscow State Technical University,99.8
28,Duke University,99.8
29,Lomonosov Moscow State University,99.6
30,Universidad Externado de Colombia,99.6
31,Pohang University of Science And Technology (POSTECH),99.6
32,Stanford University,99.5
33,National Yang Ming University,99.4
34,Eindhoven University of Technology,99.4
35,Cranfield University,99.3
36,Karolinska Institutet,99.3
37,Ecole Polytechnique,99.2
38,Moscow Institute of Physics and Technology State University,99.1
39,Kyushu University,98.8
40,Harvard University,98.6
41,UCL (University College London),98.6
42,Yeshiva University,97.8
43,Case Western Reserve University,97.7
44,Moscow State Institute of International Relations (MGIMO University),97.6
45,Tohoku University,97.1
46,Saint-Petersburg State University,97
47,The University of Tokyo,96.3
48,Technical University of Denmark,95.4
49,University of Antwerp,95.3
50,University of Lausanne,95.2
51,Vrije Universiteit Brussel (VUB),95
52,New York University (NYU),94.8
53,University of Helsinki,94.6
54,Hanyang University,94.5
55,University of Miami,94.3
56,"Nanyang Technological University, Singapore (NTU)",94.2
57,Kyoto University,94.1
58,Universiti Malaya (UM),94.1
59,University of Pittsburgh,93.8
60,University of Chicago,93.8
61,Nagoya University,93.7
62,Peter the Great Saint-Petersburg Polytechnic University,93.7
63,EPFL (Ecole Polytechnique Fédérale de Lausanne),93.6
64,École des Ponts ParisTech,93.6
65,Princeton University,92.9
66,Universidad Austral,92.9
67,National University of Singapore (NUS),92.9
68,Sciences Po Paris,92.6
69,Aalto University,92.6
70,University of Tromsø The Arctic University of Norway,92.5
71,University of Turku,92.5
72,Northwestern University,92.3
73,Al-Farabi Kazakh National University,92.2
74,"Ecole normale supérieure, Paris",91.9
75,Ecole Normale Supérieure de Cachan,91.7
76,National Research Tomsk Polytechnic University,91.4
77,University of Zurich,90.8
78,Technische Universität München,90.3
79,Ghent University,90.3
80,King Saud University,90.2
81,Southern Federal University,90.1
82,Higher School of Economics (HSE),90.1
83,The Catholic University of Korea,90
84,Kings College London,89.9
85,Université Saint-Joseph de Beyrouth,89.8
86,Tampere University of Technology,89.2
87,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),89
88,Novosibirsk State University,89
89,Belarus State University,88.7
90,University of Jyväskylä,88.7
91,Hiroshima University,88.1
92,Tsinghua University,87.5
93,Nagasaki University,87.2
94,Tokyo Institute of Technology,87.2
95,Sungkyunkwan University (SKKU),86.9
96,Osaka University,86.8
97,Kazakh National Technical University named after K.I.Satpaev,86.7
98,Ecole Centrale de Paris,86.7
99,Dartmouth College,86.4
100,University of Bergen,86.4
101,Hokkaido University,85.8
102,University of Wisconsin-Madison,85.7
103,The University of Edinburgh,85.3
104,Emory University,85.1
105,Mahidol University,85
106,"KIT, Karlsruhe Institute of Technology",84.7
107,The University of Hong Kong,84.5
108,Indian Institute of Science (IISc) Bangalore,84.4
109,University of Navarra,84.2
110,Rice University,84.2
111,Seoul National University,84.2
112,Umea University,84
113,Khalifa University,84
114,King Fahd University of Petroleum & Minerals,83.9
115,Yonsei University,83.8
116,Korea University,83.2
117,University of Toronto,82.6
118,The Hebrew University of Jerusalem,82.5
119,Chung-Ang University(CAU),82.5
120,Wayne State University,82.5
121,Eberhard Karls Universität Tübingen,82.4
122,City University of Hong Kong,81.9
123,V. N. Karazin Kharkiv National University,81.8
124,Brown University,81.7
125,"University of North Carolina, Chapel Hill",81.7
126,Universidad de San Andrés - UdeSA,81.6
127,University of Michigan,81.3
128,University of Groningen,81.1
129,Instituto Tecnológico de Buenos Aires (ITBA),81.1
130,McGill University,80.8
131,Taras Shevchenko National University of Kyiv,80.6
132,Kazakh National Pedagogical University named after Abay,79.8
133,Hallym University,79.8
134,University of Bristol,79.7
135,University Ulm,79.5
136,The University of Manchester,79.4
137,University of Dundee,79.4
138,University of St Andrews,79
139,University of Tsukuba,79
140,ETH Zurich - Swiss Federal Institute of Technology,78.6
141,KAIST - Korea Advanced Institute of Science & Technology,78.5
142,Ewha Womans University,78.5
143,Universiti Teknologi Malaysia,77.9
144,Okayama University,77.9
145,Universidad Panamericana (UP),77.7
146,Ruprecht-Karls-Universitaet Heidelberg,77.6
147,University of Eastern Finland,77.5
148,Gifu University,77.1
149,King Abdullah University of Science & Technology,77
150,University of Southampton,76.6
151,University of Kansas,76.4
153,Far Eastern Federal University,75.6
154,National University of Sciences And Technology (NUST) Islamabad,75.4
155,Al-Imam Mohamed Ibn Saud Islamic University,75.4
156,Kazan (Volga region) Federal University,75.3
157,Dongguk University,75.2
158,Georg-August-University Goettingen,74.9
159,National Taiwan University of Science and Technology (Taiwan Tech),74.7
160,Chang Gung University,74.6
161,Ural Federal University named after Boris Yeltsin (merger: Ural State and Ural State Technical University),74.6
162,Universidade Federal de São Paulo (UNIFESP),74.3
163,"University of California, Los Angeles (UCLA)",74.2
164,Tomsk State University,74
165,Cornell University,73.9
166,Arabian Gulf University,73.7
167,Peking University,73
168,Linköping University,72.8
169,Kyung Hee University,72.6
170,Queen Mary University of London,72.4
171,"National University of Ireland, Galway",72.3
172,University of Vermont,72.2
173,"St. George's, University of London",72.1
174,The Ohio State University,71.9
175,Chalmers University of Technology,71.9
176,Instituto Tecnológico y de Estudios Superiores de Monterrey,71.5
177,Maastricht University,71.5
178,Inha University,70.9
