University,W-AVG
Colorado State University,0
University of Bahrain,0
Friedrich-Alexander-Universität Erlangen-Nürnberg,0
Rheinische Friedrich-Wilhelms-Universitt Bonn,53.33333333
Vilnius University,55.1
University of Twente,42.73333333
Indian Institute of Science (IISc) Bangalore,69.5
Universität Innsbruck,0
Beijing Institute of Technology,0
Laval University,0
University of Porto,0
Wageningen University,79.93333333
Universidad de Concepción,0
University of Leicester,56.03333333
Aristotle University of Thessaloniki,0
Pontifícia Universidade Católica do Rio de Janeiro,0
University of Santo Tomas,0
University of Antwerp,77.03333333
Brandeis University,0
Brunel University London,0
Alexandria University,0
"University of California, San Francisco",80.3
National University of Sciences And Technology (NUST) Islamabad,63.9
"University of California, Irvine",0
La Trobe University,0
Universiti Sains Malaysia (USM),43.23333333
Leibniz Universität Hannover,0
Massey University,0
Dublin Institute of Technology,0
Virginia Polytechnic Institute and State University,0
Radboud University,54.06666667
Sun Yat-sen University,0
Université de Technologie de Compiègne (UTC),0
Technion - Israel Institute of Technology,0
University of Massachusetts Amherst,0
Universitat Politècnica de Catalunya,55.7
Universidad Técnica Federico Santa María (USM),0
University of Milan,0
Hankuk (Korea) University of Foreign Studies,61.53333333
University of the Witwatersrand,0
Lebanese American University,0
Novosibirsk State University,73.86666667
Auckland University of Technology (AUT),0
Universidad Nacional de La Plata,0
Bilkent University,0
University of Florida,60.33333333
Al-Farabi Kazakh National University,76.36666667
Northumbria University at Newcastle,0
University of Gothenburg,50.6
BI Norwegian Business School,0
Wuhan University,0
Universidad Politècnica de València,0
"National University of Ireland, Galway",63.3
"University of California, Riverside",0
Simon Fraser University,0
University of Oslo,56
University of Bern,46
Shanghai University,0
Universidad Torcuato Di Tella,0
"University of North Carolina, Chapel Hill",69.7
Universidade Católica Portuguesa - UCP,0
University of Tsukuba,67.93333333
King Saud University,75.43333333
National and Kapodistrian University of Athens,0
Universidad Latinoamericana de Ciencia y Tecnología - ULACIT,0
Xi’an Jiaotong University,53.26666667
Université du Québec,0
University of Limerick,0
Baylor College of Medicine,82.06666667
Pontificia Universidad Católica de Valparaíso,0
University of Minnesota,0
Tongji University,0
Saint-Petersburg State University,80.23333333
"University of Illinois, Chicago (UIC)",47.23333333
Swinburne University of Technology,0
University of Surrey,47
Colegio Mayor de Nuestra Senora del Rosario,0
Universitat Autònoma de Barcelona,0
Universidad Central de Venezuela - UCV,0
Moscow State Institute of International Relations (MGIMO University),81.03333333
Universidad de Costa Rica,0
Griffith University,0
Tel Aviv University,0
University of Notre Dame,49.66666667
Universidad de La Sabana,0
Pontificia Universidad Católica del Perú,0
University of Basel,0
University of Pretoria,0
Pontificia Universidade Católica de São Paulo (PUC -SP),59.36666667
University of Science and Technology of China,58.1
Beijing Normal University,44.36666667
Brigham Young University,0
Universidad de San Andrés - UdeSA,70.73333333
Dublin City University,48.4
National Tsing Hua University,0
Northeastern University,0
York University,0
University of Waikato,0
University of Virginia,63.83333333
Sogang University,50.23333333
Universidad de Palermo (UP),55.86666667
Universidad Nacional de Córdoba - UNC,0
Lahore University of Management Sciences (LUMS),0
City University of Hong Kong,71.5
Universidad Externado de Colombia,83.33333333
Universidad ANAHUAC,53.73333333
Stockholm University,0
George Washington University,0
De La Salle University,0
Jagiellonian University,50.46666667
Eberhard Karls Universität Tübingen,72.06666667
Instituto Politécnico Nacional (IPN),0
University of Colorado Boulder,63.93333333
King Fahd University of Petroleum & Minerals,73.16666667
Universidade Nova de Lisboa,49.23333333
Jordan University of Science & Technology,0
Université Pierre et Marie Curie (UPMC),0
Bogaziçi Üniversitesi,0
Renmin (People’s) University of China,46.8
Athens University of Economics and Business,0
Technical University of Denmark,81.23333333
Norwegian University of Science And Technology,0
Aston University,0
Politécnica de Madrid,48.9
University of Otago,0
University of Jordan,0
Tilburg University,0
University of Dhaka,0
Curtin University,0
Sapienza University of Rome,0
Instituto Tecnológico de Buenos Aires (ITBA),72.23333333
Deakin University,0
University of Bucharest,0
Ghent University,78.5
University of Lausanne,81.8
Indiana University Bloomington,0
Universidad Tecnológica Nacional (UTN),0
Leiden University,47.46666667
Ain Shams University,0
Ateneo de Manila University,49.16666667
WHU - Otto Beisheim School of Management,48.83333333
TU Dortmund University,0
University Hamburg,0
University of Mumbai,0
Boston College,0
University of Washington,54.66666667
Brno University of Technology,0
Charles University in Prague,51.03333333
Warsaw University of Technology,0
Concordia University,0
Universidad Iberoamericana (UIA),0
Istanbul Technical University,0
Cranfield University,85.06666667
Queen's University Belfast,53.8
Universiti Malaya (UM),81.66666667
Eindhoven University of Technology,85.36666667
Queen Mary University of London,67.4
The Ohio State University,67.06666667
Aalborg University,0
Middle East Technical University,0
University of Canterbury,0
University of South Australia,0
University of Vienna,0
Nagoya University,81.8
Instituto Tecnológico Autónomo de México (ITAM),0
Victoria University of Wellington,0
Aalto University,81.23333333
University of Groningen,73.56666667
Chulalongkorn University,0
Bandung Institute of Technology (ITB),0
"Kingston University, London",0
EBS Business School,0
"The University of Newcastle, Australia (UoN)",0
Michigan State University,0
The Hong Kong Polytechnic University,51.2
Indian Institute of Technology Kanpur (IITK),0
Hitotsubashi University,0
McMaster University,63.13333333
"University of Economics, Prague",0
Kyung Hee University,68.5
Linköping University,68.73333333
University of Cape Town,0
University College Cork,49.03333333
University of Indonesia,49.5
"Indian Institute of Technology, Kharagpur",0
"University of California, Davis",0
University of Wisconsin-Madison,77.83333333
American University in Dubai,0
Universite libre de Bruxelles,0
The University of Western Ontario,0
University of the Philippines,51
Universität Stuttgart,64
