,Rank13,Rank14
Harvard University,1,1
Stanford University,2,2
"University of California, Berkeley",3,4
Massachusetts Institute of Technology (MIT),4,3
University of Cambridge,5,5
California Institute of Technology,6,7
Princeton University,7,6
Columbia University,8,8
University of Chicago,9,9
University of Oxford,10,9
Yale University,11,11
"University of California, Los Angeles",12,12
Cornell University,13,13
"University of California, San Diego",14,14
University of Pennsylvania,15,16
University of Washington,16,15
The Johns Hopkins University,17,17
"University of California, San Francisco",18,18
University of Wisconsin - Madison,19,24
Swiss Federal Institute of Technology Zurich,20,19
The University of Tokyo,21,21
University College London,21,20
University of Michigan - Ann Arbor,23,22
"The Imperial College of Science, Technology and Medicine",24,22
University of Illinois at Urbana-Champaign,25,28
Kyoto University,26,26
New York University,27,27
University of Toronto,28,24
"University of Minnesota, Twin Cities",29,30
Northwestern University,30,28
Duke University,31,31
Washington University in St. Louis,32,32
University of Colorado at Boulder,33,34
Rockefeller University,34,33
"University of California, Santa Barbara",35,41
The University of Texas at Austin,36,39
Pierre and Marie  Curie University - Paris 6,37,35
"University of Maryland, College Park",38,43
University of Paris Sud (Paris 11),39,42
University of British Columbia,40,37
The University of Manchester,41,38
University of Copenhagen,42,39
University of North Carolina at Chapel Hill,43,36
Karolinska Institute,44,47
"University of California, Irvine",45,47
University of Edinburgh,51,45
The University of Texas Southwestern Medical Center at Dallas,46,45
"University of California, Davis",47,55
University of Southern California,47,51
Vanderbilt University,49,54
Technical University Munich,50,53
Carnegie Mellon University,52,62
Utrecht University,52,57
Pennsylvania State University - University Park,54,58
Heidelberg University,54,49
University of Melbourne,54,44
Purdue University - West Lafayette,57,60
McGill University,58,67
The Hebrew University of Jerusalem,59,70
University of Zurich,60,56
"Rutgers, The State University of New Jersey - New Brunswick",61,52
University of Munich,61,49
University of Pittsburgh,61,65
University of Bristol,64,63
The Ohio State University - Columbus,65,64
The Australian National University,66,74
Brown University,67,74
King's College London,67,59
University of Geneva,69,66
University of Oslo,69,69
Ecole Normale Superieure - Paris,71,67
University of Florida,71,78
Uppsala University,73,60
Leiden University,74,77
Boston University,75,72
University of Helsinki,76,73
Technion-Israel Institute of Technology,77,78
University of Arizona,78,86
Arizona State University,79,88
Moscow State University,79,84
Aarhus University,81,74
Stockholm University,82,78
University of Basel,83,90
University of Nottingham,83,
Ghent University,85,70
Indiana University Bloomington,85,
Osaka University,85,78
The University of Queensland,85,85
University of Utah,85,87
University of Rochester,90,90
The University of Western Australia,91,88
McMaster University,92,90
Michigan State University,92,
Rice University,92,82
University of Groningen,92,82
University Paris Diderot - Paris 7,,
Weizmann Institute of Science,92,
University of Strasbourg,97,95
University of Sydney,97,
Case Western Reserve University,99,
University of Freiburg,100,
