World Rank-11,University,National Rank-11,Overall-11,Alumini-11,Award-11,HiCi-11,N&S-11,PUB-11,PCP-11
1,Harvard University,1,100,100,100,100,100,100,70.5
2,Stanford University,2,72.6,41.2,78.4,88.4,70.2,70.3,48.6
3,Massachusetts Institute of Technology (MIT),3,72,72.8,81.9,67.9,70.6,60.6,63.7
4,"University of California, Berkeley",4,71.9,68.3,79.3,70,69.5,69.4,53.1
5,University of Cambridge,1,70,87.1,96.7,54.5,54.1,65.1,52
6,California Institute of Technology,5,64.7,52.6,68.8,57.3,65,46.5,100
7,Princeton University,6,61.2,56.7,87.1,62.1,43.8,43.4,64.2
8,Columbia University,7,60.4,69.6,67.4,57.1,50.8,67.5,31
9,University of Chicago,8,57.5,65,83.9,52,40.4,50.9,39.1
10,University of Oxford,2,56.4,55.5,57.6,48.9,49.7,69.5,40
11,Yale University,9,54.8,49.6,44.9,59.5,57.4,61.6,35.5
12,"University of California, Los Angeles",10,53,30,42.6,57.5,53.1,73.6,30.3
13,Cornell University,11,51.5,42,51.1,54.5,48.3,56.4,36.9
14,University of Pennsylvania,12,50.4,36.3,34.3,57.7,48.8,67.5,36.5
15,"University of California, San Diego",13,49.5,15.6,35.8,61.2,52.4,65.6,34.5
16,University of Washington,14,48.8,24.3,31.7,55,51.9,72.4,27.3
17,"University of California, San Francisco",15,46.7,0,40.1,53.5,54.2,62,33.9
18,The Johns Hopkins University,16,45.9,43.2,32.1,42.1,47.9,65.6,26.8
19,University of Wisconsin - Madison,17,45.6,35.3,35.4,52,39.7,64.2,24.6
20,University College London,3,44.8,32.2,32.1,39.5,46.1,68,31.2
21,The University of Tokyo,1,44.6,35.3,14.1,42.1,52.7,75.8,28.3
22,University of Michigan - Ann Arbor,18,44.1,36.7,0,60.4,45,77.7,25.1
23,Swiss Federal Institute of Technology Zurich,1,43.2,33.8,36.1,36.4,43.6,53.8,46.1
24,"The Imperial College of Science, Technology and Medicine",4,42.6,16.6,37.2,41.5,39.6,62.7,34.5
25,University of Illinois at Urbana-Champaign,19,42.5,34.3,36.5,43.9,38.2,57,27.4
26,University of Toronto,1,41.9,22.8,19.2,38.9,40.6,79.5,27.2
27,Kyoto University,2,41.2,33.8,34.7,39.5,35.5,62.2,22.7
28,"University of Minnesota, Twin Cities",20,40.8,30,16.2,51,36.8,66.4,25.2
29,New York University,21,38.8,32.2,24.4,42.1,39.4,55.4,22
30,Northwestern University,22,38.7,17.6,22.1,48.4,37.7,57.8,26.2
31,Washington University in St. Louis,23,38.1,21.2,25.9,38.9,42.6,54.4,25.1
32,University of Colorado at Boulder,24,37.2,14.4,30.7,39.5,42.2,44.8,32
33,Rockefeller University,25,37.1,19.5,58.4,28.9,42.5,21.5,37.7
33,"University of California, Santa Barbara",25,37.1,16.6,35.1,42.7,34.8,40.6,36.8
35,Duke University,27,35.1,17.6,0,47,40.9,62.5,22
35,The University of Texas at Austin,27,35.1,18.6,16.6,45.6,31.7,55.2,24.1
37,University of British Columbia,2,34.9,17.6,18.9,32.3,31.8,65.9,23.4
38,The University of Manchester,5,34.8,21.2,33.9,28,27.7,56.6,23.8
