World Rank-13,University,,National Rank-13,Overall-15,Alumini-13,Award-13,HiCi-13,N&S-13,PUB-13,PCP-13
1,Harvard University,,1,100,100,100,100,100,100,72.5
2,Stanford University,,2,72.6,40,80.7,88.9,68.7,69.4,50.4
3,"University of California, Berkeley",,3,71.3,67.8,79,69.7,68.5,68.1,54.7
4,Massachusetts Institute of Technology (MIT),,4,71.1,68,81.3,68.2,69.7,60.1,65
5,University of Cambridge,,1,69.6,79.1,97.3,54.6,54,66.2,53.3
6,California Institute of Technology,,5,62.9,47.8,67.2,57.4,62,45.2,100
7,Princeton University,,6,61.9,52.9,89.2,62.2,45.8,44,66.9
8,Columbia University,,7,59.8,66.1,66.4,57.4,49.8,68,31.9
9,University of Chicago,,8,57.1,60.9,83.4,52.2,41.9,49.8,39.5
10,University of Oxford,,2,55.9,51.8,55.3,48.9,51.3,69.9,41.2
11,Yale University,,9,55.4,47.5,44.5,59.7,60.7,62.4,36.3
12,"University of California, Los Angeles",,10,52.9,27.3,47.4,57.7,51.7,71.2,31.1
13,Cornell University,,11,50,38.2,50.2,54.9,45,55.2,37.6
14,"University of California, San Diego",,12,49.9,20,35.8,60.3,55.5,63.4,35.5
15,University of Pennsylvania,,13,49.6,33,34.1,57.9,47.4,66.7,37.7
16,University of Washington,,14,48.3,22,31.8,55.1,52.3,70.8,27.9
17,The Johns Hopkins University,,15,46.9,39.3,33.9,42.2,49.7,68.8,27.4
18,"University of California, San Francisco",,16,46.2,0,40.2,53.7,54.1,59.3,34.1
19,University of Wisconsin - Madison,,17,44.9,32.1,35,52.1,39.3,63.3,25.1
20,Swiss Federal Institute of Technology Zurich,,1,43.5,30.7,35.8,36.7,46.6,54.7,44.4
21,The University of Tokyo,,1,43,32.1,14.2,42.5,50,72.2,27.8
21,University College London,,3,43,29.3,29.7,39.6,42.1,67.5,31.3
23,University of Michigan - Ann Arbor,,18,42.6,33.4,0,60.5,42,75.7,24.7
24,"The Imperial College of Science, Technology and Medicine",,4,41.6,15.1,36.1,41.6,39,60.4,35.7
25,University of Illinois at Urbana-Champaign,,19,41.1,31.2,36.5,43.3,35.9,54.2,28.4
26,Kyoto University,,2,40.8,30.7,37.5,38.9,35.1,60.2,23.2
27,New York University,,20,40.5,29.3,32.2,42.2,40.8,55.5,22.8
28,University of Toronto,,1,40.3,20.7,17.3,39,38.2,77.6,27.4
29,"University of Minnesota, Twin Cities",,21,39.7,27.3,16.4,51.1,34.7,64.3,25.5
30,Northwestern University,,22,38.9,16,22.2,48.5,39.1,57.5,27.1
31,Duke University,,23,38.1,16,15,46.5,42.8,61.6,22.5
32,Washington University in St. Louis,,24,37.5,19.3,25.1,39,44.2,52.1,24.9
33,University of Colorado at Boulder,,25,37.3,13.1,34.3,39.6,39.2,45,33.6
34,Rockefeller University,,26,37.1,17.7,60.2,28.9,43.1,20.4,38.1
