Rank,Name,Overall,Teaching,Research,Citations,Industry Income,International Outlook
1,California Institute of TechnologyUnited StatesExplore,94.8,95.7,98.2,99.9,97.0,56.0
2,Harvard UniversityUnited StatesExplore,93.9,95.8,97.4,99.8,35.9,67.5
2,Stanford UniversityUnited StatesExplore,93.9,94.8,98.9,99.8,63.8,57.2
4,University of OxfordUnited KingdomExplore,93.6,89.5,96.6,97.9,62.1,91.9
5,Princeton UniversityUnited StatesExplore,92.9,91.5,99.1,100.0,81.0,49.6
6,University of CambridgeUnited KingdomExplore,92.4,90.5,94.2,97.3,55.5,85.3
7,Massachusetts Institute of TechnologyUnited StatesExplore,92.3,92.7,87.4,100.0,94.4,79.2
8,Imperial College LondonUnited KingdomExplore,90.7,88.8,88.7,93.9,93.1,92.2
9,University of ChicagoUnited StatesExplore,90.2,89.4,90.8,99.4,-,58.8
10,"University of California, BerkeleyUnited StatesExplore",89.8,82.8,99.4,99.4,62.5,50.4
11,Yale UniversityUnited StatesExplore,89.1,92.3,91.2,96.7,34.7,55.5
12,Columbia UniversityUnited StatesExplore,87.5,89.1,81.8,97.8,-,67.6
13,"University of California, Los AngelesUnited StatesExplore",87.3,85.9,92.5,97.3,-,41.0
14,Johns Hopkins UniversityUnited StatesExplore,85.8,78.9,86.5,97.3,100.0,59.9
15,ETH Zurich – Swiss Federal Institute of Technology ZurichSwitzerlandExplore,85.0,79.1,85.8,87.2,-,97.5
16,University of PennsylvaniaUnited StatesExplore,84.9,87.0,86.1,97.9,41.9,34.3
17,UCLUnited KingdomExplore,83.2,77.8,84.3,89.0,41.4,91.8
18,University of MichiganUnited StatesExplore,82.8,75.4,90.0,94.3,53.3,47.2
19,University of TorontoCanadaExplore,81.6,76.9,87.4,86.5,44.9,69.0
20,Cornell UniversityUnited StatesExplore,80.5,70.4,87.2,93.5,-,53.4
21,Carnegie Mellon UniversityUnited StatesExplore,78.4,65.7,79.5,97.4,60.7,55.0
22,Duke UniversityUnited StatesExplore,77.4,62.6,77.9,97.4,100.0,46.9
22,University of British ColumbiaCanadaExplore,77.4,68.6,78.6,85.2,40.6,88.7
24,Georgia Institute of TechnologyUnited StatesExplore,77.0,66.6,73.8,91.9,99.2,65.0
25,University of WashingtonUnited StatesExplore,76.5,70.8,74.0,98.2,31.8,36.9
26,Northwestern UniversityUnited StatesExplore,76.2,66.3,75.5,98.6,56.6,35.3
27,University of Wisconsin-MadisonUnited StatesExplore,75.8,74.3,77.3,90.6,55.3,23.8
28,McGill UniversityCanadaExplore,75.5,72.8,78.4,77.1,35.1,81.4
29,University of Texas at AustinUnited StatesExplore,74.9,69.5,76.1,89.6,57.7,38.8
30,The University of TokyoJapanExplore,74.3,86.1,80.3,69.1,76.6,23.0
31,University of Illinois at Urbana-ChampaignUnited StatesExplore,74.2,67.9,81.3,81.5,-,50.7
32,Karolinska InstituteSwedenExplore,73.1,69.9,73.8,73.1,78.5,82.0
33,"University of California, San DiegoUnited StatesExplore",73.0,61.4,72.0,97.8,51.8,31.5
34,University of Hong KongHong KongExplore,72.3,74.0,80.1,60.5,64.1,83.7
