University,Rank(QS),Rank(THE)
Massachusetts Institute of Technology,1,5
Harvard University,2,6
University of Cambridge,3,4
Stanford University,3,3
California Institute of Technology,5,1
University of Oxford,6,2
University College London,7,14
Imperial College London,8,8
ETH Zurich - Swiss Federal Institute of Technology,9,9
University of Chicago,10,10
Princeton University,11,7
National University of Singapore,12,26
Nanyang Technological University,13,55
Yale University,15,12
Johns Hopkins University,16,11
Cornell University,17,18
University of Pennsylvania,18,17
Australian National University,19,52
King's College London,19,27
University of Edinburgh,21,24
Columbia University,22,15
Ecole Normale Superieure,23,54
McGill University,24,38
Tsinghua University,25,47
University of California Berkeley,26,13
University of California Los Angeles,27,16
Hong Kong University of Science and Technology,28,59
Duke University,29,20
University of Hong Kong,30,44
University of Michigan,30,21
Northwestern University,32,25
University of Manchester,33,56
University of Toronto,34,19
London School of Economics and Political Science,35,23
Seoul National University,36,85
University of Bristol,37,69
Kyoto University,38,88
University of Tokyo,39,43
Peking University,41,42
University of Melbourne,42,33
Korea Advanced Institute of Science & Technology,43,148
University of California San Diego,44,39
University of Sydney,45,56
University of New South Wales,46,82
University of Queensland,46,60
University of Warwick,48,80
Brown University,49,51
University of British Columbia,50,34
Chinese University of Hong Kong,51,138
New York University,53,30
Ecole Polytechnique,14,31
University of Wisconsin Madison,54,50
University of Amsterdam,55,58
University of Illinois at Urbana Champaign,59,36
Technical University of Munich,60,53
Durham University,61,70
University of Glasgow,62,76
Carnegie Mellon University,62,22
Delft University of Technology,64,65
University of Washington,65,32
Heidelberg University,66,37
Monash University,67,73
University of St Andrews,68,86
University of Copenhagen,69,82
National Taiwan University,70,167
University of Nottingham,70,143
Lund University,70,90
Ludwig Maximilians University Munich,75,29
University of Birmingham,76,119
University of Texas at Austin,77,46
Trinity College Dublin,78,160
University of North Carolina Chapel Hill,79,63
University of Sheffield,80,97
University of Southampton,81,110
University of Auckland,82,172
KU Leuven,82,35
Georgia Institute of Technology,84,41
University of Zurich,85,104
University of California Davis,85,44
University of Leeds,87,133
Pohang University of Science And Technology,87,116
University of Geneva,89,131
Purdue University,89,113
Boston University,91,64
KTH Royal Institute of Technology,92,155
Karlsruhe Institute of Technology,93,138
Utrecht University,94,62
Leiden University,95,67
University of Alberta,96,137
University of Helsinki,96,76
University of Western Australia,98,109
Ohio State University,99,90
University of Groningen,100,74
Pennsylvania State University,101,75
Uppsala University,102,81
University of York,103,131
Rice University,106,101
Aarhus University,107,149
Lomonosov Moscow State University,108,161
Queen Mary University of London,109,98
Washington University in St Louis,110,60
Technical University of Denmark,112,167
University of Adelaide,113,149
University of Montreal,115,113
Eindhoven University of Technology,117,176
Sungkyunkwan University,118,153
Free University of Berlin,119,72
Lancaster University,121,130
Cardiff University,122,182
University of Minnesota,123,65
Ghent University,124,118
University of Maryland College Park,126,117
Erasmus University Rotterdam,126,71
Humboldt University of Berlin,126,49
University of California Santa Barbara,129,39
University of Southern California,130,68
University of Freiburg,133,84
University of Pittsburgh,133,79
University of Oslo,135,135
Wageningen University,135,47
University of Aberdeen,137,172
Pierre and Marie Curie University,137,113
University of Basel,139,101
University of Lausanne,143,144
RWTH Aachen University,145,110
Hebrew University of Jerusalem,148,178
Universite catholique de Louvain,149,167
McMaster University,149,94
University of Liverpool,151,157
University of Waterloo,152,179
University of Vienna,153,142
University College Dublin,154,176
University of Reading,156,164
Dartmouth College,158,104
Texas A&M University,159,193
University of Exeter,161,93
Newcastle University,162,196
University of California Irvine,163,106
Michigan State University,164,99
Emory University,165,90
University of Barcelona,166,174
University of Bern,166,120
Georg-August-University Gottingen,168,99
Maastricht University,169,88
University of Cape Town,171,120
University of Virginia,172,147
Eberhard Karls University of Tubingen,173,78
University of Colorado Boulder,175,127
Vrije University Amsterdam,176,154
Radboud University,177,125
University of Florida,180,120
University of Bergen,181,182
Queen's University Belfast,182,200
Stockholm University,182,136
University of Sussex,186,140
University of Twente,188,149
University of Rochester,190,158
Autonomous University of Barcelona,190,146
University of Notre Dame,195,108
