Name,Rank,Web of Science Documents,Times Cited,% Docs Cited,Quartile
ASTRONOMY & ASTROPHYSICS,1,495,19818,97.78,Q1
PHYSICAL REVIEW D,2,816,16575,97.06,Q1
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,3,967,14396,95.66,Q1
ASTROPHYSICAL JOURNAL,4,664,11478,98.64,Q1
PHYSICS LETTERS B,5,199,7972,96.98,Q1
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,6,33,5808,93.94,Q1
ASTROPHYSICS AND SPACE SCIENCE,7,781,5524,86.81,Q3
INTERNATIONAL JOURNAL OF MODERN PHYSICS D,8,201,4317,83.58,Q2
CLASSICAL AND QUANTUM GRAVITY,9,176,3419,94.89,Q1
PHYSICAL REVIEW LETTERS,10,73,2977,100.0,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,11,264,2518,94.7,Q2
ASTROPHYSICAL JOURNAL LETTERS,12,133,2510,97.74,Q1
ASTRONOMICAL JOURNAL,13,66,2261,93.94,Q2
SOLAR PHYSICS,14,171,1893,94.15,Q2
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,15,163,1572,93.87,Q1
GENERAL RELATIVITY AND GRAVITATION,16,132,1527,90.15,Q2
ADVANCES IN SPACE RESEARCH,17,292,1489,81.16,Q3
MODERN PHYSICS LETTERS A,18,148,856,81.08,Q3
ANNALES GEOPHYSICAE,19,74,845,97.3,Q3
PLANETARY AND SPACE SCIENCE,20,97,672,83.51,Q3
NUCLEAR PHYSICS B,21,56,659,98.21,Q2
ASTROPARTICLE PHYSICS,22,53,597,94.34,Q2
NEW ASTRONOMY,23,103,577,88.35,Q3
RESEARCH IN ASTRONOMY AND ASTROPHYSICS,24,86,464,80.23,Q3
JOURNAL OF ASTROPHYSICS AND ASTRONOMY,25,147,400,70.07,Q4
BULLETIN OF THE ASTRONOMICAL SOCIETY OF INDIA,26,114,396,64.04,Q2
ICARUS,27,32,265,96.88,Q2
EXPERIMENTAL ASTRONOMY,28,32,205,81.25,Q2
GRAVITATION & COSMOLOGY,29,38,97,63.16,Q4
EARTH MOON AND PLANETS,30,31,87,48.39,Q3

Filter Summary:
Dataset: Astronomy-6909
Schema:  Web of Science
Location:  [INDIA]
"Web of Science Documents:  [31, 402709]"

"Exported date  2017-08-22. "
"InCites dataset updated  2017-08-19. Includes Web of Science content indexed through 2017-06-30. "
