Name,Rank,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited,% Documents in Q1 Journals,% Documents in Q2 Journals,% Documents in Q3 Journals,% Documents in Q4 Journals,% Documents in Top 1%,% Documents in Top 10%,% International Collaborations,Documents in Q4 Journals,Documents in Q3 Journals,Documents in Q2 Journals,Documents in Q1 Journals,Res reputation - global,State/Province
Inter-University Centre for Astronomy & Astrophysics,1,143,9.5,17767,99.3,96.45,3.55,0.0,0.0,23.78,61.54,100.0,0,0,5,136,n/a,n/a
Tata Institute of Fundamental Research,2,100,4.51,10439,99.0,75.0,24.0,0.0,1.0,9.0,35.0,99.0,1,0,24,75,n/a,n/a
Indian Institute of Astrophysics,3,32,5.4,2849,100.0,78.13,18.75,3.13,0.0,9.38,25.0,96.88,0,1,6,25,n/a,n/a
Raman Research Institute,4,69,2.71,1919,100.0,73.91,26.09,0.0,0.0,4.35,30.43,100.0,0,0,18,51,n/a,n/a
Indian Institute of Technology (IIT),5,23,4.73,920,100.0,95.65,4.35,0.0,0.0,13.04,43.48,100.0,0,0,1,22,n/a,n/a
Saha Institute of Nuclear Physics,6,25,3.44,901,100.0,84.0,16.0,0.0,0.0,16.0,32.0,96.0,0,0,4,21,n/a,n/a
Aryabhatta Research Institute of Observational Sciences,7,18,2.27,806,100.0,94.44,0.0,5.56,0.0,5.56,16.67,100.0,0,1,0,17,n/a,n/a
Institute for Plasma Research (IPR),8,21,4.61,711,100.0,85.71,14.29,0.0,0.0,9.52,42.86,100.0,0,0,3,18,n/a,n/a
Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,9,20,4.71,687,100.0,85.0,15.0,0.0,0.0,10.0,40.0,100.0,0,0,3,17,n/a,n/a
Indian Institute of Science Education & Research (IISER) - Kolkata,9,20,4.71,687,100.0,85.0,15.0,0.0,0.0,10.0,40.0,100.0,0,0,3,17,n/a,n/a
Bhabha Atomic Research Center,11,8,6.3,617,100.0,75.0,25.0,0.0,0.0,25.0,87.5,100.0,0,0,2,6,n/a,n/a
University of Pune,12,9,4.61,479,100.0,88.89,11.11,0.0,0.0,33.33,55.56,100.0,0,0,1,8,n/a,n/a
Panjab University,13,10,3.56,435,90.0,70.0,30.0,0.0,0.0,10.0,60.0,100.0,0,0,3,7,n/a,n/a
Sardar Vallabhbhai National Institute of Technology,14,1,21.97,338,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0,0,0,1,n/a,n/a
Physical Research Laboratory - India,15,7,1.7,162,100.0,85.71,14.29,0.0,0.0,0.0,14.29,100.0,0,0,1,6,n/a,n/a
Banaras Hindu University,16,4,3.17,137,100.0,100.0,0.0,0.0,0.0,0.0,75.0,100.0,0,0,0,4,n/a,n/a
Institute of Physics Bhubaneswar (IOPB),17,2,2.0,115,100.0,100.0,0.0,0.0,0.0,0.0,50.0,100.0,0,0,0,2,n/a,n/a
Indian Institute of Technology (IIT) - Bombay,18,1,3.03,105,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,1,16.103,n/a
University of Rajasthan,18,1,3.03,105,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,1,n/a,n/a
Indian Institute of Technology (IIT) - Guwahati,18,2,6.26,105,100.0,100.0,0.0,0.0,0.0,50.0,50.0,100.0,0,0,0,2,n/a,n/a
University of Jammu,18,1,3.03,105,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,1,n/a,n/a
Inter-University Accelerator Centre,22,1,4.62,100,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,1,n/a,n/a
Indian Institute of Science Education & Research (IISER) - Pune,23,2,6.13,94,100.0,50.0,50.0,0.0,0.0,50.0,50.0,100.0,0,0,1,1,n/a,n/a
Assam University,24,2,1.88,78,100.0,50.0,50.0,0.0,0.0,0.0,50.0,100.0,0,0,1,1,n/a,n/a
Indian Institute of Technology (IIT) - Kharagpur,25,2,1.71,50,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,2,4.4406,n/a
Indian Institute of Science Education & Research (IISER) - Mohali,26,1,2.59,30,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0,0,0,1,n/a,n/a
Mahatma Gandhi University,27,1,1.31,28,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,1,n/a,n/a
Indian Institute of Technology (IIT) - Kanpur,28,1,1.11,21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,1,7.1448,n/a
Indian Institute of Technology (IIT) - Madras,28,1,1.11,21,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,1,7.641,n/a
Indian Institute of Technology (IIT) - Ropar,30,1,0.8,6,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,1,n/a,n/a
Indian Institute of Science (IISC) - Bangalore,31,1,0.26,4,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0,0,0,1,n/a,n/a

Filter Summary:
Dataset: Astronomy-6909
Schema:  Web of Science
Location:  [INDIA]
"Authors per Document:  [30, 5154]"

"Exported date  2017-09-05. "
"InCites dataset updated  2017-08-19. Includes Web of Science content indexed through 2017-06-30. "
