Name,Rank,Web of Science Documents,Times Cited,% Docs Cited,Category Normalized Citation Impact,% Documents in Q1 Journals,% Documents in Q2 Journals,% Documents in Q3 Journals,% Documents in Q4 Journals,% International Collaborations,Citation Impact
Natl Sci Fdn,1,155,15230,99.35,4.88,81.82,17.53,0.65,0.0,100.0,98.26
National Aeronautics & Space Administration (NASA),2,148,15170,99.32,6.68,93.88,5.44,0.68,0.0,100.0,102.5
United States Department of Energy (DOE),3,80,14461,100.0,9.99,95.0,5.0,0.0,0.0,100.0,180.76
European Space Agency,4,44,9836,100.0,20.05,97.73,2.27,0.0,0.0,100.0,223.55
Max Planck Society,5,84,9520,100.0,8.46,96.39,3.61,0.0,0.0,100.0,113.33
CENTRE NATIONAL D'ETUDES SPATIALES,6,42,9255,100.0,19.62,100.0,0.0,0.0,0.0,100.0,220.36
Science & Technology Facilities Council (STFC),7,120,8390,100.0,5.97,90.76,9.24,0.0,0.0,100.0,69.92
Alfred P. Sloan Foundation,8,77,7818,98.7,5.72,90.79,9.21,0.0,0.0,100.0,101.53
French National Research Agency,9,85,7008,98.82,4.58,91.67,8.33,0.0,0.0,100.0,82.45
Istituto Nazionale Astrofisica - Italy,10,41,5472,100.0,11.63,97.56,2.44,0.0,0.0,100.0,133.46
Portuguese Foundation for Science and Technology,11,48,5416,100.0,10.66,95.83,4.17,0.0,0.0,100.0,112.83
Italian Space Agency,12,48,5247,100.0,9.81,95.74,4.26,0.0,0.0,100.0,109.31
Australian Research Council,13,108,5028,100.0,3.48,85.05,14.95,0.0,0.0,100.0,46.56
Science Foundation Ireland,14,55,4940,100.0,8.34,96.36,3.64,0.0,0.0,100.0,89.82
"Ministry of Science and Innovation, Spain (MICINN)",15,51,4707,100.0,7.56,96.08,3.92,0.0,0.0,100.0,92.29
German Aerospace Centre (DLR),16,37,4485,100.0,11.46,100.0,0.0,0.0,0.0,100.0,121.22
Finnish Funding Agency for Technology and Innovation (TEKES),17,32,4480,100.0,13.15,100.0,0.0,0.0,0.0,100.0,140.0
Italian National Research Council,18,32,4464,100.0,13.18,100.0,0.0,0.0,0.0,100.0,139.5
Leverhulme Trust,19,65,4445,100.0,4.67,92.19,7.81,0.0,0.0,100.0,68.38
Consejo Superior de Investigaciones Cientificas (CSIC),20,32,4437,100.0,13.09,100.0,0.0,0.0,0.0,100.0,138.66
Istituto Nazionale di Fisica Nucleare,21,76,4423,100.0,4.27,93.33,6.67,0.0,0.0,100.0,58.2
Japan Society for the Promotion of Science,22,70,4192,100.0,4.23,92.75,7.25,0.0,0.0,100.0,59.89
Royal Society,23,64,3909,100.0,4.24,93.65,6.35,0.0,0.0,100.0,61.08
"Ministry of Science and Higher Education, Poland",24,61,3754,100.0,3.92,91.8,8.2,0.0,0.0,100.0,61.54
Council of Scientific & Industrial Research (CSIR) - India,25,58,3670,100.0,3.92,94.74,5.26,0.0,0.0,100.0,63.28
The David & Lucile Packard Foundation,26,58,3591,100.0,3.92,92.98,7.02,0.0,0.0,100.0,61.91
"Ministry of Education, Culture, Sports, Science and Technology, Japan",27,20,3420,100.0,9.21,75.0,25.0,0.0,0.0,100.0,171.0
Netherlands Organization for Scientific Research (NWO),28,56,3410,100.0,3.83,89.29,10.71,0.0,0.0,100.0,60.89
Research Corporation for Science Advancement,29,56,2948,100.0,3.8,92.73,7.27,0.0,0.0,100.0,52.64
"Ministry of Education and Science, Spain",30,37,2856,100.0,3.43,100.0,0.0,0.0,0.0,100.0,77.19
Higher Education Funding Council for England,31,2,2750,100.0,54.38,100.0,0.0,0.0,0.0,100.0,1375.0
Foundation for Polish Science,32,37,2052,100.0,3.35,89.19,10.81,0.0,0.0,100.0,55.46
Natural Sciences and Engineering Research Council of Canada,33,36,1775,100.0,4.55,94.44,5.56,0.0,0.0,100.0,49.31
FOM (The Netherlands),34,33,1623,100.0,4.26,87.88,12.12,0.0,0.0,100.0,49.18
University of Florida,35,6,1612,100.0,12.64,66.67,33.33,0.0,0.0,100.0,268.67
University of Cambridge,35,6,1612,100.0,12.64,66.67,33.33,0.0,0.0,100.0,268.67
