Name,Rank,Web of Science Documents,Times Cited,% Docs Cited,Quartile,Journal Impact Factor,Journal Country
ASTRONOMY & ASTROPHYSICS,1,97,12235,98.97,Q1,5.014,FRANCE
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,2,10,5498,100.0,Q1,8.955,USA
PHYSICS LETTERS B,3,4,4615,100.0,Q1,4.807,NETHERLANDS
PHYSICAL REVIEW D,4,53,2697,100.0,Q1,4.568,USA
ASTROPHYSICAL JOURNAL,5,52,2037,100.0,Q1,5.533,USA
PHYSICAL REVIEW LETTERS,6,25,1440,100.0,Q1,8.462,USA
CLASSICAL AND QUANTUM GRAVITY,7,18,1434,100.0,Q1,3.119,ENGLAND
ASTRONOMICAL JOURNAL,8,9,1342,88.89,Q2,2.609,USA
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,9,30,891,100.0,Q1,4.961,ENGLAND
ASTROPHYSICAL JOURNAL LETTERS,10,19,822,100.0,Q1,5.522,USA
NATURE,11,4,607,100.0,Q1,40.137,ENGLAND
ASTROPARTICLE PHYSICS,12,7,361,100.0,Q2,3.257,NETHERLANDS
SCIENCE,13,3,336,100.0,Q1,37.205,USA
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,14,11,301,100.0,Q2,4.095,AUSTRALIA
PLANETARY AND SPACE SCIENCE,15,3,52,100.0,Q3,1.892,USA
ASTRONOMY REPORTS,16,1,43,100.0,Q4,0.592,RUSSIA
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,17,4,42,100.0,Q3,1.859,JAPAN
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,18,2,39,100.0,Q1,4.446,USA
ICARUS,19,2,38,100.0,Q2,3.131,USA
EXPERIMENTAL ASTRONOMY,20,4,32,100.0,Q2,2.313,NETHERLANDS
ASTRONOMISCHE NACHRICHTEN,21,1,22,100.0,Q3,0.916,GERMANY (FED REP GER)
JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,22,1,11,100.0,Q1,4.734,ENGLAND
ASTROBIOLOGY,23,1,9,100.0,Q1,2.603,USA
RADIO SCIENCE,23,1,9,100.0,Q3,1.581,USA
ADVANCES IN SPACE RESEARCH,25,1,4,100.0,Q3,1.401,ENGLAND
JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,25,1,4,100.0,Q2,2.733,n/a
GENERAL RELATIVITY AND GRAVITATION,27,1,1,100.0,Q2,1.618,USA

Filter Summary:
Dataset: Astronomy-6909
Schema:  Web of Science
Location:  [INDIA]
"Authors per Document:  [30, 5154]"

"Exported date  2017-09-05. "
"InCites dataset updated  2017-08-19. Includes Web of Science content indexed through 2017-06-30. "
