Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Mitra, S.",1,Inter-University Centre for Astronomy & Astrophysics,80,13.61,12110,100.0
"Gurtu, A.",2,Tata Institute of Fundamental Research,5,15.67,4480,80.0
"Dhurandhar, S.",3,Inter-University Centre for Astronomy & Astrophysics,68,3.81,4285,100.0
"Wadadekar, Yogesh",4,Tata Institute of Fundamental Research,2,53.05,2680,100.0
"Sivarani, Thirupathi",5,Indian Institute of Astrophysics,9,15.68,2162,100.0
"Souradeep, T.",6,Inter-University Centre for Astronomy & Astrophysics,24,8.6,1987,100.0
"Ravindranath, Swara",7,Inter-University Centre for Astronomy & Astrophysics,2,29.56,1263,100.0
"Mukhopadhyay, H.",8,Inter-University Centre for Astronomy & Astrophysics,15,3.17,1047,100.0
"Gupta, R.",9,Inter-University Centre for Astronomy & Astrophysics,16,3.51,916,100.0
"Unnikrishnan, C. S.",10,Tata Institute of Fundamental Research,23,4.28,744,100.0
"Rajalakshmi, G.",11,Tata Institute of Fundamental Research,22,4.44,728,100.0
"Iyer, B. R.",11,Raman Research Institute,22,4.44,728,100.0
"Kumar, A.",13,Institute for Plasma Research (IPR),21,4.61,711,100.0
"Haris, K.",14,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,20,4.71,687,100.0
"Mazumder, N.",14,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,20,4.71,687,100.0
"Pai, A.",14,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,20,4.71,687,100.0
"Subrahmanyan, R.",17,Raman Research Institute,29,2.02,666,100.0
"Mookerjea, B.",18,Tata Institute of Fundamental Research,15,1.8,665,100.0
"Srivani, K. S.",19,Raman Research Institute,36,1.67,662,100.0
"Sengupta, A. S.",20,Indian Institute of Technology (IIT),16,5.46,617,100.0
"Shankar, N. Udaya",21,Raman Research Institute,34,1.59,568,100.0
"Bhalerao, Varun",22,Inter-University Centre for Astronomy & Astrophysics,2,16.36,485,100.0
"Prabu, T.",23,Raman Research Institute,27,1.56,481,100.0
"Gaonkar, S.",24,Inter-University Centre for Astronomy & Astrophysics,13,5.14,456,100.0
"Bose, Sukanta",24,Inter-University Centre for Astronomy & Astrophysics,13,5.14,456,100.0
"Pandey, S. B.",26,Aryabhatta Research Institute of Observational Sciences,5,3.4,434,100.0
"Nayak, R. K.",27,Indian Institute of Science Education & Research (IISER) - Kolkata,12,5.35,432,100.0
"Bhattacharya, S.",28,Saha Institute of Nuclear Physics,5,7.8,425,100.0
"Ain, A.",29,Inter-University Centre for Astronomy & Astrophysics,10,6.27,419,100.0
"Mitra, S.",30,University of Pune,5,6.91,408,100.0
"Prasad, J.",31,Inter-University Centre for Astronomy & Astrophysics,12,5.01,405,100.0
"Oberoi, D.",32,Tata Institute of Fundamental Research,24,1.77,363,100.0
"Rotti, A.",33,Inter-University Centre for Astronomy & Astrophysics,1,29.27,339,100.0
"Majumdar, P.",33,Saha Institute of Nuclear Physics,16,1.73,339,100.0
"Parikh, Madhura M.",35,Sardar Vallabhbhai National Institute of Technology,1,21.97,338,100.0
"Bhatnagar, V.",36,Panjab University,7,4.64,327,100.0
"Beri, S. B.",36,Panjab University,7,4.64,327,100.0
"Dutta, D.",38,Bhabha Atomic Research Center,5,5.98,288,100.0
"Kaur, M.",38,Panjab University,6,4.99,288,83.33
"Shukla, P.",38,Bhabha Atomic Research Center,5,5.98,288,100.0
"Nishu, N.",38,Panjab University,5,5.98,288,100.0
"Pant, L. M.",38,Bhabha Atomic Research Center,5,5.98,288,100.0
"Mohanty, A. K.",38,Bhabha Atomic Research Center,5,5.98,288,100.0
