Name,Rank,Web of Science Documents,Times Cited,% Docs Cited,Quartile
NATURE,1,8,878,100.0,Q1
SCIENCE,2,4,447,100.0,Q1
REVISTA MEXICANA DE ASTRONOMIA Y ASTROFISICA,3,4,418,75.0,Q4
SPACE SCIENCE REVIEWS,4,13,359,100.0,Q1
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,5,19,308,73.68,Q2
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF THE PACIFIC,6,15,268,93.33,Q1
ASTRONOMISCHE NACHRICHTEN,7,27,222,85.19,Q3
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN,8,19,179,94.74,Q3
NATURAL HAZARDS AND OCEANOGRAPHIC PROCESSES FROM SATELLITE DATA,9,6,154,83.33,n/a
RADIO SCIENCE,10,17,134,100.0,Q3
PHYSICAL REVIEW E,11,19,125,94.74,Q1
ASTRONOMY REPORTS,12,8,103,87.5,Q4
ASTROBIOLOGY,13,8,77,87.5,Q1
CELESTIAL MECHANICS & DYNAMICAL ASTRONOMY,14,3,49,100.0,Q2
NEW ASTRONOMY REVIEWS,15,5,44,100.0,Q2
GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,16,12,38,83.33,Q4
INTERNATIONAL JOURNAL OF ASTROBIOLOGY,17,5,35,100.0,Q2
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,18,1,33,100.0,Q1
JOURNAL OF SPACE WEATHER AND SPACE CLIMATE,19,5,27,100.0,Q2
GREAT HISTORICAL GEOMAGNETIC STORM OF 1859: A MODERN LOOK,20,1,23,100.0,n/a
"ATMOSPHERIC REMOTE SENSING: EARTH'S SURFACE, TROPOSPHERE, STRATOSPHERE AND MESOSPHERE - II",21,2,21,100.0,n/a
JOURNAL OF THE KOREAN ASTRONOMICAL SOCIETY,22,4,18,75.0,Q4
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,23,6,17,83.33,Q2
LIVING REVIEWS IN RELATIVITY,24,1,11,100.0,Q1
ADVANCES IN SPECIFYING PLASMA TEMPERATURES AND ION COMPOSITION IN THE IONOSPHERE,24,3,11,100.0,n/a
ASTRONOMY AND COMPUTING,26,5,10,80.0,Q2
CHINESE JOURNAL OF ASTRONOMY AND ASTROPHYSICS,26,5,10,40.0,n/a
ASTROPHYSICAL BULLETIN,26,3,10,100.0,Q3
ACTA ASTRONOMICA,29,2,9,50.0,Q2
MOON AND NEAR-EARTH OBJECTS,30,1,8,100.0,n/a
ASTROPHYSICS,31,10,7,40.0,Q4
ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,32,2,6,50.0,Q3
EUROPEAN JOURNAL OF PHYSICS,33,4,5,75.0,Q4
NEXT GENERATION OF SCIENTIFIC BALLOON MISSIONS,34,2,4,100.0,n/a
ADVANCES IN ASTRONOMY,35,10,3,20.0,Q4
"BOUNDARY LAYERS, WAVES AND NON-LINEAR DYNAMICAL PROCESSES",36,1,2,100.0,n/a
COSMIC RESEARCH,36,2,2,100.0,Q4
COMPTES RENDUS PHYSIQUE,38,1,1,100.0,Q2
BALTIC ASTRONOMY,38,2,1,50.0,Q4
CORONAL MASS EJECTIONS AND SOLAR PARTICLE EVENTS IN SOLAR CYCLE 23,38,1,1,100.0,n/a
CONTRIBUTIONS OF THE ASTRONOMICAL OBSERVATORY SKALNATE PLESO,38,1,1,100.0,Q4
SOLAR SYSTEM RESEARCH,42,1,0,0.0,Q4
ASTRONOMY & GEOPHYSICS,42,1,0,0.0,Q4
"SPACE LIFE SCIENCES: FLIGHT MEASUREMENTS, CALIBRATION OF DETECTORS AND ENVIRONMENTAL MODELS FOR RADIATION ANALYSIS",42,1,0,0.0,n/a
SERBIAN ASTRONOMICAL JOURNAL,42,2,0,0.0,Q4

Filter Summary:
Dataset: Astronomy-6909
Schema:  Web of Science
Location:  [INDIA]
"Web of Science Documents:  [0, 30]"

"Exported date  2017-08-22. "
"InCites dataset updated  2017-08-19. Includes Web of Science content indexed through 2017-06-30. "
