Name,Rank,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited,Documents in Q1 Journals,Documents in Q2 Journals,Documents in Q3 Journals,Documents in Q4 Journals
Institute for Plasma Research (IPR),1,26,3.84,757,100.0,21,4,1,0
Panjab University,2,24,1.93,643,91.67,14,5,2,2
University of Mumbai,3,26,0.81,567,80.77,19,1,3,1
Sardar Vallabhbhai National Institute of Technology,4,7,3.64,373,100.0,1,2,4,0
Institute of Physics Bhubaneswar (IOPB),5,28,0.55,312,89.29,22,4,2,0
Ministry of Earth Sciences (MoES) - India,6,29,0.48,257,100.0,2,9,11,1
University of Rajasthan,7,19,0.49,244,89.47,2,5,11,0
Indian Institute of Technology (IIT) - Guwahati,8,14,1.85,241,100.0,10,3,1,0
National Physics Laboratory - India,9,30,0.33,209,96.67,2,12,8,0
Indian Institute of Tropical Meteorology (IITM),10,17,0.57,197,100.0,1,7,4,1
National Geophysical Research Institute - India,11,13,0.6,193,100.0,1,4,1,1
Siksha 'O' Anusandhan University,12,8,2.97,190,100.0,5,3,0,0
Sant Gadge Baba Amravati University,13,23,0.5,188,86.96,0,9,13,1
Mahatma Gandhi University,14,22,0.35,173,90.91,9,4,5,2
Indian Institute of Technology (IIT) - Gandhinagar,15,20,0.93,168,95.0,9,7,3,0
Madurai Kamaraj University,16,28,0.3,163,92.86,7,17,3,1
Tezpur University,17,27,0.6,152,100.0,12,10,5,0
University of Kerala,17,12,0.65,152,75.0,2,2,4,0
Indian Institute of Technology (IIT) - Madras,19,19,0.71,140,100.0,16,3,0,0
Indian Institute of Science Education & Research (IISER) - Mohali,19,12,1.35,140,91.67,9,2,0,0
Pt. Ravishankar Shukla University,21,22,0.35,139,95.45,16,2,4,0
Jai Narain Vyas University Jodhpur,21,9,0.55,139,100.0,0,1,7,0
Dibrugarh University,23,22,0.33,132,81.82,1,4,11,1
Indian Institute of Technology (IIT) - Hyderabad,24,8,1.43,127,100.0,5,1,2,0
Lucknow University,24,25,0.26,127,80.0,7,6,7,1
Saurashtra University,26,10,0.59,126,80.0,2,1,4,1
North Eastern Hill University,27,16,0.42,123,87.5,6,7,3,0
Osmania University,28,29,0.21,119,86.21,5,2,18,4
Inter-University Accelerator Centre,29,2,2.56,113,100.0,1,0,0,0
Maharaja Sayajirao University Baroda,30,11,0.64,106,100.0,0,4,6,0
University of Jammu,31,1,3.03,105,100.0,1,0,0,0
Sri Venkateswara University,32,21,0.28,96,90.48,0,3,2,0
University of Kashmir,33,23,0.18,92,78.26,7,8,8,0
Bidhan Chandra Agricultural University,34,8,0.71,80,100.0,6,1,1,0
Indian Institute of Technology (Indian School of Mines) Dhanbad,35,15,0.42,78,93.33,2,8,4,1
Manipur University,36,26,0.14,77,80.77,2,11,13,0
Jiwaji University,37,12,0.43,72,83.33,0,1,8,2
Indian Institute of Technology (IIT) - Ropar,38,6,0.98,68,100.0,5,0,1,0
Bose Institute,39,15,0.26,64,86.67,9,4,1,1
Institute of Advanced Study in Science & Technology - India,39,7,0.48,64,85.71,0,5,1,0
Guru Nanak Dev University,41,10,0.44,60,90.0,1,5,4,0
Indian Institute of Science Education & Research (IISER) - Bhopal,41,11,0.33,60,90.91,10,0,1,0
National Institute of Technology Raipur,41,5,0.52,60,100.0,0,0,5,0
Rashtrasant Tukadoji Maharaj Nagpur University,44,14,0.21,58,78.57,0,2,11,1
University of Madras,45,5,0.55,54,100.0,4,1,0,0
Sardar Patel University,46,8,0.3,49,87.5,0,2,2,1
Indian Institute of Technology (IIT) - Indore,47,4,1.62,47,75.0,2,2,0,0
Chaudhary Charan Singh University,48,7,0.27,46,100.0,0,3,4,0
Gujarat University,49,7,0.27,41,85.71,0,3,1,0
Lovely Professional University,50,9,0.42,35,77.78,0,1,6,2
National Chemistry Laboratory Pune,51,1,1.61,33,100.0,1,0,0,0
Periyar University,52,3,0.75,32,100.0,0,2,1,0
India Meteorological Department (IMD),53,6,0.28,28,100.0,1,2,3,0
Vidyasagar University,54,4,1.28,27,100.0,2,1,1,0
Wadia Institute of Himalayan Geology,54,1,1.2,27,100.0,1,0,0,0
"Visvesvaraya National Institute of Technology, Nagpur",56,2,0.79,26,100.0,0,1,1,0
Pondicherry University,56,3,0.6,26,100.0,3,0,0,0
Anna University,58,5,0.82,25,80.0,2,1,1,1
National Centre for Antarctic & Ocean Research (NCAOR),58,5,0.41,25,100.0,0,0,3,0
Anna University Chennai,58,5,0.82,25,80.0,2,1,1,1
Thapar University,61,12,0.08,21,66.67,0,1,6,5
National Institute of Oceanography - India,61,3,0.54,21,100.0,1,1,0,1
Institute of Chemical Technology - Mumbai,63,3,0.43,20,100.0,3,0,0,0
Bangalore University,64,9,0.18,19,55.56,4,0,2,2
Bharathidasan University,65,2,1.8,18,100.0,2,0,0,0
Motilal Nehru National Institute of Technology,66,2,0.14,16,100.0,1,0,1,0
Jawaharlal Nehru University,66,5,0.37,16,80.0,1,2,1,0
The Northcap University,66,1,1.04,16,100.0,0,1,0,0
Amrita Vishwa Vidyapeetham University,69,4,0.52,15,50.0,2,0,1,1
North Maharashtra University,69,2,0.29,15,100.0,0,0,1,1
Jawaharlal Nehru Technological University - Hyderabad,69,2,0.85,15,100.0,0,0,1,0
Manipal University,72,6,0.23,14,66.67,4,0,2,0
Jawaharlal Nehru Technological University - Anantapur,73,3,0.37,13,100.0,0,3,0,0
Banasthali Vidyapith,73,5,0.15,13,100.0,0,2,3,0
University of Burdwan,73,6,0.11,13,83.33,1,2,3,0
