Name,Rank,Affiliation,Web of Science Documents,Category Normalized Citation Impact,Times Cited,% Docs Cited
"Gurtu, A.",1,Tata Institute of Fundamental Research,5,15.67,4480,80.0
"Wadadekar, Yogesh",2,Tata Institute of Fundamental Research,7,15.86,2728,100.0
"Sivarani, Thirupathi",3,Indian Institute of Astrophysics,20,8.42,2686,100.0
"Souradeep, T.",4,Inter-University Centre for Astronomy & Astrophysics,24,8.6,1987,100.0
"Ravindranath, Swara",5,Inter-University Centre for Astronomy & Astrophysics,9,8.0,1502,100.0
"Banerjee, Rabin",6,SN Bose National Centre for Basic Science,26,2.86,1278,100.0
"Mukhopadhyay, H.",7,Inter-University Centre for Astronomy & Astrophysics,16,2.97,1047,93.75
"Gupta, R.",8,Inter-University Centre for Astronomy & Astrophysics,25,2.44,1020,96.0
"Majhi, Bibhas Ranjan",9,SN Bose National Centre for Basic Science,11,3.95,792,100.0
"Iyer, B. R.",10,Raman Research Institute,23,4.29,746,100.0
"Rajalakshmi, G.",11,Tata Institute of Fundamental Research,23,4.25,729,100.0
"Kumar, A.",12,Institute for Plasma Research (IPR),21,4.61,711,100.0
"Mazumder, N.",13,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,21,4.57,705,100.0
"Haris, K.",14,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,21,4.49,688,100.0
"Pai, A.",15,Indian Institute of Science Education & Research (IISER) - Thiruvananthapuram,20,4.71,687,100.0
"Iyer, Bala R.",16,Raman Research Institute,15,2.27,668,93.33
"Sami, M.",17,Jamia Millia Islamia,27,1.42,653,100.0
"Pandey, S. B.",18,Aryabhatta Research Institute of Observational Sciences,20,1.48,642,100.0
"Mathur, S.",19,Indian Institute of Astrophysics,9,2.87,641,88.89
"Sengupta, A. S.",20,Indian Institute of Technology (IIT),16,5.46,617,100.0
"Bhalerao, Varun",21,Inter-University Centre for Astronomy & Astrophysics,7,6.78,608,100.0
"Sahni, Varun",22,Inter-University Centre for Astronomy & Astrophysics,21,1.46,599,100.0
"Subrahmanyan, Ravi",23,Raman Research Institute,22,1.41,583,95.45
"Dighe, Amol",24,Tata Institute of Fundamental Research,11,2.39,578,100.0
"Prabu, T.",25,Raman Research Institute,29,1.62,507,100.0
"Bose, Sukanta",26,Inter-University Centre for Astronomy & Astrophysics,15,4.53,465,100.0
"Chengalur, Jayaram N.",27,Tata Institute of Fundamental Research,27,0.9,456,92.59
"Gaonkar, S.",27,Inter-University Centre for Astronomy & Astrophysics,13,5.14,456,100.0
"Nayak, R. K.",29,Indian Institute of Science Education & Research (IISER) - Kolkata,12,5.35,432,100.0
"Bharadwaj, Somnath",30,Indian Institute of Technology (IIT) - Kharagpur,29,0.74,427,93.1
"Joshi, Pankaj S.",31,Tata Institute of Fundamental Research,28,0.93,426,92.86
"Bhattacharya, S.",32,Saha Institute of Nuclear Physics,5,7.8,425,100.0
"Gupta, Alok C.",33,Aryabhatta Research Institute of Observational Sciences,27,0.79,422,96.3
"Ain, A.",34,Inter-University Centre for Astronomy & Astrophysics,10,6.27,419,100.0
"Prasad, J.",35,Inter-University Centre for Astronomy & Astrophysics,13,4.65,410,100.0
"Mitra, S.",36,University of Pune,5,6.91,408,100.0
"Shaw, Gargi",37,University of Mumbai,1,13.23,402,100.0
"Oberoi, D.",38,Tata Institute of Fundamental Research,28,1.73,398,100.0
"Noterdaeme, P.",39,Inter-University Centre for Astronomy & Astrophysics,8,1.9,381,100.0
"Srivastava, A. K.",40,Aryabhatta Research Institute of Observational Sciences,23,0.8,380,100.0
